word,NETFLIX_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
せかす,2,1,1,2,1,1,2,2,2,2,3,2,2,3,1,2,2,2,2,3,1,1,3,1,2,2,3,1,1,3,1,3,4,1,1,1
ドロドロ,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,3,2,2,5,1,1,2,4,1,1,1,1,2,1,1,2,2
フィリップス,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,1,4,1,1,1,1,1,1,1,1,1,2,2,1
メンフィス,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,2,1,1,1,1,1,1,2,1,1
一条,2,1,2,3,4,1,1,4,2,1,1,1,2,1,1,3,4,4,4,3,1,1,1,1,2,1,1,2,1,1,1,3,1,2,1,1
下水道,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2
仕込み,2,2,1,3,1,1,2,3,2,2,1,2,2,3,2,2,3,3,2,3,2,2,3,1,2,3,1,1,1,3,3,2,3,2,2,2
他界,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,3,3,3,2,1,2,2,2,1,1
党員,2,1,3,1,3,1,2,1,2,2,1,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,3,2,2
全軍,2,1,2,3,2,1,1,2,2,2,1,2,1,2,2,3,2,2,2,2,2,2,1,1,3,2,1,2,2,3,1,2,2,1,1,2
均等,2,2,2,1,2,2,2,1,2,2,1,2,1,2,1,2,2,2,1,2,1,1,2,1,1,1,1,1,2,2,1,2,2,2,3,3
妖力,2,1,1,1,1,1,1,1,2,2,1,2,1,4,3,1,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
官僚,2,2,4,2,2,3,3,3,2,2,1,2,3,2,1,3,2,2,1,1,3,2,1,3,3,1,1,3,3,3,1,3,2,3,3,3
寄付金,2,1,1,2,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
左折,2,2,1,1,1,1,2,1,2,2,1,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2
従,2,3,4,3,5,1,2,2,2,2,3,2,4,1,1,3,3,3,3,3,5,5,1,1,3,2,4,4,4,3,4,3,3,4,2,1
徹也,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
持ち去る,2,1,1,3,1,1,1,3,2,2,4,2,2,2,1,3,2,2,1,1,1,1,1,1,2,2,1,1,1,2,3,2,2,1,1,1
波の音,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
消防署,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2,2
焼,2,1,3,2,5,1,1,3,2,2,3,1,3,1,1,3,2,2,2,2,4,4,2,1,3,2,2,5,4,1,3,2,1,3,2,2
目覚まし,2,2,2,2,1,1,3,1,2,2,1,2,2,2,4,2,2,2,4,3,2,2,3,1,1,2,1,1,1,2,1,2,3,1,3,2
窓口,2,3,3,2,2,3,4,2,2,2,1,2,2,1,1,3,1,1,1,2,2,2,2,1,2,1,1,2,2,3,1,2,2,3,3,3
美津子,2,1,1,2,1,1,1,3,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,2,1,1
誕生日プレゼント,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
貝原,2,1,1,2,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
酔っぱらう,2,1,1,2,1,1,1,3,2,2,1,1,3,1,1,3,2,2,2,2,1,1,2,1,3,1,2,1,1,1,1,2,1,1,2,2
金山,2,1,3,2,2,1,1,2,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,1,2,1,3,1,1
鎮める,2,1,1,2,1,1,1,2,2,2,1,1,3,1,1,3,2,2,2,3,1,1,3,1,3,2,2,2,2,1,1,2,1,2,2,1
阿国,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
雑談,2,3,1,1,3,1,3,2,2,2,1,2,3,2,2,3,2,2,2,3,2,2,3,1,3,2,1,2,3,3,3,3,3,1,4,3
デトックス,2,3,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2
ハイヒール,2,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,2,1,3,1,1,1,1,1,1,1,2,2
パチンコ,2,1,3,2,1,1,2,1,2,2,1,1,2,1,1,3,2,2,2,1,2,2,2,3,1,2,3,1,1,1,1,2,1,3,3,3
ブリトー,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ポケベル,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1
メイジャー,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
不妊,2,2,2,1,1,2,3,1,2,3,1,3,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2
丸める,2,3,1,2,1,2,2,2,2,2,4,2,3,2,3,4,2,2,3,3,1,1,3,1,3,2,2,3,2,3,1,3,3,1,2,3
予防接種,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
亮介,2,1,1,3,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3
会食,2,1,1,2,2,1,2,3,2,2,1,2,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,1,1,2,1,2,2,1,2,3
出廷,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
卵子,2,2,1,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,2,1,1,1,1,1,1,1
圭子,2,1,1,3,1,1,1,3,2,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,2,1,2,1,1
大罪,2,1,1,2,2,1,2,2,2,3,1,3,2,4,2,2,4,4,2,2,2,2,2,1,1,2,1,1,1,3,1,2,2,1,1,1
彼の人,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,3,1,1,1,1,1,1,1,1,1
必要性,2,1,1,2,1,3,4,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,2,1,1,1,1,1,3,3
応戦,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,1,1,2,2,1,1,1,3,4,2,2,2,2,1
感電,2,1,1,2,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,1,3,3,2,1,1,1,1,1,1,2,3,1,2,1,2,2
手引き,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,1
振り出し,2,2,1,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1
推薦状,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
支持率,2,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3
攻め込む,2,1,1,3,1,1,1,2,2,2,3,2,1,3,2,2,3,3,2,2,1,1,3,1,1,3,1,1,1,3,3,2,2,2,2,2
望遠鏡,2,1,1,2,3,1,2,2,2,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,2,2,1,3,3,1,1,1,1,3,2,2
機関銃,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,3,2
死に際,2,1,1,2,1,1,1,1,2,2,1,2,1,3,1,1,3,3,2,1,2,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1
死闘,2,1,2,3,2,1,1,1,2,2,1,2,2,3,2,2,3,3,2,2,1,1,1,1,2,2,2,1,1,3,3,2,2,2,1,1
治療中,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
炎症,2,3,3,2,1,2,4,2,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,3,3,2,1,1,2,2,2,3
無差別,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,4,1,1,1,1,1
特典,2,3,4,2,1,2,4,1,2,2,1,2,1,2,3,1,2,2,3,2,2,2,2,2,1,2,1,1,2,3,1,2,2,4,3,3
由太郎,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
発注,2,3,3,3,1,2,3,3,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,1,1,2,1,1,2,3,1,2,2,3,3,3
目玉焼き,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,1
碧,2,1,2,3,3,1,1,3,2,1,1,1,2,1,1,1,2,2,2,2,2,2,1,1,2,2,3,2,2,1,1,3,1,3,1,1
秋田,2,1,4,3,3,2,2,3,2,1,1,1,3,1,1,2,1,1,3,1,1,1,1,3,2,1,2,3,3,1,1,2,1,4,2,3
聞き出せる,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
講じる,2,1,1,2,1,2,2,1,2,1,1,1,2,1,1,3,1,1,1,2,1,1,2,1,2,2,1,3,3,1,1,1,1,2,3,2
軟らかい,2,4,1,2,1,3,2,3,2,2,4,2,3,2,2,3,2,2,2,3,1,1,2,1,3,2,4,3,3,3,3,3,3,2,2,1
長寿,2,1,3,1,2,2,3,1,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,1,2,1,1,3,3,2,1,2,1,3,2,2
電子機器,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1
アリーナ,2,2,3,1,1,1,3,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,1,4,1,1,3,1,1,1,1,1,1,3,2,2
エミリオ,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1
おめでたい,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,2,4,1,1,1,1,1,1,1,2,1
けら,2,1,1,2,1,1,1,1,2,1,3,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,2,3,3,1,1,1,1,1,2,1
サンタクロース,2,1,1,2,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,2,2,2,2,1,2,2,3,1,1,1,1,1,1,2,1,1
ジェット機,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2
ただただ,2,1,1,2,1,1,1,2,2,2,1,1,2,1,1,3,2,2,2,3,1,2,4,1,2,2,4,1,1,1,3,3,1,1,3,3
ひと息,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1
ピンポン,2,2,1,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,3,1,1,2,3,1,1,2,1,1,2,2,2,3
ボンド,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,2,3,1,3,1,1,2,1,1,1,1,1,1,2,4,4
マーラ,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
れつ,2,4,4,3,4,3,4,3,2,2,1,3,4,3,3,4,3,3,3,3,4,4,2,2,4,2,2,4,3,4,1,4,4,2,3,1
不信,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,3,2,2,2,2,2,2,1,1,2,1,1,1,1,3,1,3,2,2,2,2
人斬り,2,1,1,3,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
個体,2,3,4,2,2,3,3,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,1,4,4,4,5,3,3,4,2,3
団子,2,3,2,3,3,2,3,2,2,2,1,3,2,3,4,3,3,3,2,3,2,2,1,1,2,2,3,3,3,3,1,3,3,2,2,3
固執,2,2,2,2,3,1,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,1,2,2,2,1,2
大家さん,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1
大島,2,1,3,3,3,2,2,4,2,1,1,1,3,1,1,3,1,2,3,3,1,1,1,3,3,1,1,3,3,1,1,3,1,4,2,3
学部,2,3,3,1,2,2,3,2,2,2,1,2,2,1,2,2,1,1,2,1,2,2,2,4,2,1,1,2,3,1,1,2,2,4,2,2
富豪,2,3,2,1,3,1,1,1,2,3,1,3,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2,1,1
引きずり,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
浴びせる,2,1,1,2,1,2,2,2,2,2,4,2,3,2,2,3,2,2,2,3,1,1,3,1,3,2,2,2,2,3,3,3,3,2,2,2
無くす,2,4,1,2,1,3,4,4,2,2,4,4,2,4,4,4,3,3,2,3,1,1,3,1,4,4,5,3,4,4,3,2,4,2,4,3
特派員,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
真紀,2,1,1,3,1,1,1,4,2,1,1,1,2,1,1,1,1,1,2,4,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1
礼物,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
紙幣,2,1,3,2,3,2,2,2,2,2,1,2,3,1,1,3,1,2,1,1,3,3,1,2,3,1,1,3,3,2,1,2,2,3,3,2
絶体絶命,2,1,1,3,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1
美濃部,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
胴体,2,1,3,2,3,2,2,2,2,2,1,2,3,2,2,3,2,2,2,2,2,2,3,2,3,2,1,2,2,4,4,3,2,3,3,2
苦境,2,1,2,1,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,1,1,2
虫歯,2,4,1,2,1,2,4,2,2,2,1,2,1,2,3,2,2,2,3,1,2,2,2,1,1,2,2,1,2,2,4,1,2,1,2,2
観点,2,3,4,1,2,4,4,1,2,2,3,2,2,1,2,3,1,2,2,2,2,2,2,1,2,1,1,2,3,2,1,3,2,3,5,4
貨物室,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
進言,2,1,3,2,2,1,1,2,2,2,1,2,2,2,1,3,2,2,1,2,2,2,1,1,2,2,1,1,1,3,1,2,2,2,2,1
運び込む,2,1,1,2,1,2,2,2,2,2,4,2,2,2,1,1,2,2,1,2,1,1,1,1,2,2,1,1,1,3,3,2,3,1,1,1
麻薬密売,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
黒須,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
Ｔ細胞,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
アライグマ,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,3,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1
カオ,2,5,1,3,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1
けんぽん,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
けん引,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ダーツ,2,2,2,2,1,1,2,2,2,2,1,2,1,3,1,1,3,3,1,2,2,1,1,3,1,1,3,1,2,2,1,1,2,2,3,2
ちょこ,2,2,1,2,3,1,1,2,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,1,1
ちょっかい,2,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,4,1,1,3,1,2,3,1,1,1
ニコライ,2,1,3,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,2,1,4,2,1,2,1,1,1,1,2,1,2,1,1
ホアン,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
まばたく,2,1,1,2,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1
モップ,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,3,1,1,2,1,2,2,1,2,1
ユミル,2,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
