word,hiragana,katakana,ANIME_JDRAMA_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
似る,にる,ニル,5,5,5,4,4,5,5,3,5,5,5,5,4,5,5,2,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,1,5,5,5,3,5,5,4,4,4,5,5,5,5,4,5,5,5,5,1,5,4,4,5
父さん,とうさん,トウサン,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,5,5,1,1,3,1,1,1,1,1,1,4,1,1,2,3,1,3,4,4,2,1,1,1,1,1,1,1,1,1,1,1,5,4,1,2,1,1,2,4
いつか,いつか,イツカ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,5,5,1,1,4,1,1,1,1,1,1,4,1,1,4,2,2,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,3,4,1
本物,ほんもの,ホンモノ,5,4,4,4,3,4,4,3,3,4,4,4,3,4,4,3,4,3,4,4,5,5,5,4,5,4,4,5,5,4,4,5,5,4,4,1,4,5,4,3,4,3,4,3,3,4,3,4,3,4,4,5,4,4,4,4,3,4,4
申す,もうす,モウス,5,2,2,2,3,4,3,3,3,2,3,3,2,2,3,1,1,4,3,5,4,4,4,5,4,4,4,4,4,4,4,1,1,2,4,1,5,4,4,4,5,5,5,4,5,5,4,5,4,3,4,4,3,5,1,4,2,4,4
ルパン,ルパン,ルパン,5,3,4,2,3,4,3,3,4,2,2,4,2,4,2,3,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2,1,2,2,1,3,2,2,2,2,2,2,3,1,4,1,2,2,1,3,4,3
まるで,まるで,マルデ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,3,4,5,5,5,5,5,4,5,5,5,4,5,5,5,4,2,2,5,5,5,5,4,3,4,4,3,4,3,3,3,4,5,5,5,5,4,5,2,4,4
いきなり,いきなり,イキナリ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,4,4,4,4,5,5,5,5,5,5,5,5,3,4,4,5,2,4,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,5,3,4,4
おじさん,おじさん,オジサン,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,4,1,1,4,1,1,1,1,1,1,4,1,1,3,5,1,4,2,4,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,3,4,1
近く,ちかく,チカク,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,4,5,5,4,5,5,4,5,4,5,5,5,5,5,5,4,5,5
魂,たましい,タマシイ,5,3,3,2,3,4,4,3,5,3,3,3,2,3,2,3,5,3,4,4,5,5,4,4,5,4,4,5,5,4,4,4,4,4,4,3,4,4,5,2,3,2,3,3,4,2,3,3,3,4,4,5,5,4,4,4,4,4,4
大好き,だいすき,ダイスキ,5,5,5,4,4,4,4,4,4,5,5,5,4,4,5,2,1,4,4,5,5,5,5,3,4,5,4,4,4,5,5,4,4,4,5,2,3,5,5,3,4,2,5,4,5,4,4,4,5,5,4,5,3,4,5,5,3,5,5
長い,ながい,ナガイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,2,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5
勝てる,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,4,4,1,3,1,1,1,5,5,4,4,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,1,2,4,4
母,はは,ハハ,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,4,4
まだまだ,まだまだ,マダマダ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,4,4,4,4,4,5,4,4,5,5,4,4,3,3,4,5,1,4,5,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4
部長,ぶちょう,ブチョウ,5,4,4,5,3,4,4,3,4,4,3,4,4,4,4,3,3,3,3,5,4,4,4,4,2,4,3,2,3,4,4,4,4,4,5,2,4,3,4,1,3,3,4,5,3,3,3,3,4,3,2,4,3,4,4,4,4,3,3
魔,ま,マ,5,2,3,2,3,4,3,3,3,3,2,2,2,3,2,3,4,2,2,5,4,4,4,4,5,3,4,5,5,3,4,3,3,3,4,3,5,4,4,1,2,2,2,2,2,2,2,2,2,3,5,4,4,4,4,4,4,4,2
だす,だす,ダス,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,3,5,4,4,5,5,5,5,5,4,4,4,5,1,1,3,5,1,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,4,3,5,3,5,3,4,4
得る,える,エル,5,5,5,4,5,5,5,4,3,5,4,4,5,5,4,4,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,1,4,4,1,5,4,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5
辞める,やめる,ヤメル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,5,4,4,1,3,1,1,1,4,4,4,4,1,1,2,4,1,3,5,4,5,1,1,1,1,1,1,1,1,1,1,1,4,5,4,3,1,3,4,4
恋,こい,コイ,5,4,3,3,3,5,4,3,3,4,3,3,2,3,4,4,5,4,4,5,4,4,4,4,4,5,4,4,4,5,5,4,4,4,4,3,4,4,5,3,3,3,4,3,3,3,3,3,3,5,4,4,4,4,4,5,4,3,4
親父,おやじ,オヤジ,5,4,5,3,3,4,3,3,4,4,4,5,3,5,4,1,4,3,3,5,5,5,5,4,5,4,4,5,5,4,4,4,4,3,3,1,4,4,4,4,4,3,4,4,3,3,4,4,5,4,4,5,1,4,3,4,2,3,3
打つ,うつ,ウツ,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,3,1,4,4,1,5,5,5,5,5,4,5,5,5,4,4,3,3,3,4,1,1,4,5,4,4,4,5,4,4,4,5,4,5,4,5,5,3,5,3,5,4,4,5
毎日,まいにち,マイニチ,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,4,5,5,4,4,5,4,5,5,5,5,3,4,5,5,2,5,4,5,4,4,4,5,4,5,5,4,5,4,5,5,5,4,5,5
冗談,じょうだん,ジョウダン,5,4,4,4,3,4,3,3,3,3,4,4,4,4,4,2,4,3,3,4,5,5,5,4,5,5,5,5,5,5,5,5,5,3,5,1,4,4,5,2,3,3,4,3,3,3,4,3,4,3,4,5,4,4,4,5,2,3,3
とても,とても,トテモ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,5
当然,とうぜん,トウゼン,5,4,4,4,4,4,3,3,4,3,4,4,4,4,3,3,5,4,5,4,5,5,5,5,4,4,5,4,5,4,5,5,5,5,5,4,5,5,5,3,5,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,3,5,5
彼ら,かれら,カレラ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,5,1,1,1,1,1,1,5,1,1,5,3,2,5,4,5,3,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,4,5,1
証拠,しょうこ,ショウコ,5,3,3,3,3,4,3,3,4,2,4,3,2,3,2,4,5,4,4,5,5,5,5,4,4,4,5,4,4,4,4,5,5,4,4,2,4,4,4,2,4,4,3,3,3,3,3,3,3,4,4,5,3,4,4,4,3,4,4
妖怪,ようかい,ヨウカイ,5,3,3,2,4,4,3,3,3,2,3,3,3,3,3,3,3,2,3,3,4,4,4,3,5,5,3,5,5,5,3,1,2,2,3,2,3,3,4,1,2,2,2,2,2,2,2,2,2,3,2,4,1,4,3,3,4,3,3
味,あじ,アジ,5,5,5,5,3,5,5,4,4,5,5,5,5,5,5,3,5,4,4,5,5,5,5,4,4,4,4,4,5,4,5,4,4,4,5,2,4,4,4,2,4,3,5,4,4,3,4,4,5,5,5,5,3,4,5,5,4,5,5
ふざける,ふざける,フザケル,5,4,4,4,4,4,3,4,3,4,4,3,4,4,3,1,1,2,2,2,5,5,5,3,5,4,4,5,5,4,4,1,1,1,4,1,1,4,5,5,3,2,3,3,3,2,3,3,3,3,4,5,4,4,2,4,1,4,4
上げる,あげる,アゲル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,1,4,5,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5
以外,いがい,イガイ,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
内,ない,ナイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,4,5,5,5,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
飯,めし,メシ,5,4,4,4,4,4,3,4,5,4,4,4,4,5,4,3,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,1,4,4,4,3,3,2,3,3,3,2,3,3,3,3,4,4,1,4,4,4,3,4,3
ゆっくり,ゆっくり,ユックリ,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,3,1,4,4,5,5,5,5,5,4,4,5,4,4,5,5,5,5,4,5,1,5,5,5,5,4,4,4,4,4,4,5,4,4,4,5,5,5,5,4,5,2,4,4
なくなる,なくなる,ナクナル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,5,4,4,4,5,3,4,5,4,5,5,4,1,1,3,5,1,4,5,5,5,4,4,5,4,5,5,4,4,4,3,4,4,4,5,3,4,4,5,5
それより,それより,ソレヨリ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1
描く,えがく,エガク,5,2,2,3,3,4,3,3,3,2,3,3,3,2,2,4,1,5,5,4,5,4,4,5,4,4,5,4,4,4,4,1,1,4,4,1,5,4,5,2,4,4,4,4,4,5,4,4,4,5,4,5,3,5,4,4,5,5,5
おめでとう,おめでとう,オメデトウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,1,1,3,1,1,1,1,1,1,4,1,1,4,4,2,3,4,4,5,1,1,1,1,1,1,1,1,1,1,1,5,5,1,4,1,1,4,4
戦,せん,セン,5,4,4,3,3,4,3,4,4,4,4,4,4,4,4,5,5,4,4,5,4,5,5,4,5,5,4,5,5,5,4,5,5,5,3,2,4,4,3,4,4,3,4,4,4,3,4,4,4,5,5,4,5,5,5,4,5,4,4
的,てき,テキ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
こりゃ,こりゃ,コリャ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,1,4,1,1,1,5,5,4,4,4,4,3,1,1,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,4,1,3,4,1,1,3,3
死,し,シ,5,3,3,3,4,4,3,3,3,3,3,3,3,3,2,5,5,4,4,4,5,5,5,5,5,4,5,5,5,4,5,5,5,4,4,4,5,5,4,5,4,3,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4
無線,むせん,ムセン,5,2,2,3,3,4,3,4,3,3,2,2,2,3,2,4,2,3,4,4,4,4,4,3,3,2,3,3,3,2,2,4,4,4,2,1,3,3,3,1,3,3,3,3,3,3,3,3,3,4,2,4,1,3,4,2,4,3,3
行ける,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,4,1,5,5,1,4,1,1,1,5,5,5,4,1,1,3,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,1,2,4,5
あっち,あっち,アッチ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,1,4,1,1,1,5,5,4,4,4,4,3,1,1,4,5,4,5,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,1,1,4,4
当たる,あたる,アタル,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,4,1,5,5,5,4,4,4,4,5,4,4,5,5,4,4,1,1,3,5,1,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,4,4,4,4,5,4,5,5
会える,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,5,5,1,4,1,1,1,4,4,4,4,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,1,2,3,3
安心,あんしん,アンシン,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,4,5,2,4,5,5,2,4,4,4,5,4,3,4,4,4,5,5,5,4,5,5,5,2,5,4
使える,-,-,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,4,1,5,5,1,4,1,1,1,5,5,4,4,1,1,4,4,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,1,4,5,5
みせる,みせる,ミセル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,2,5,4,4,5,5,5,5,5,5,5,4,5,1,1,2,5,1,5,5,4,5,5,5,5,4,5,5,5,4,4,5,5,4,3,4,2,5,3,3,3
久しぶり,ひさしぶり,ヒサシブリ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,1,1,4,1,1,1,1,1,1,4,1,1,4,5,1,4,5,5,3,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1,2,3,4
右,みぎ,ミギ,5,5,5,5,4,5,5,4,5,4,5,5,4,5,5,4,5,4,4,4,4,4,4,5,4,4,5,4,4,4,4,5,4,4,5,3,5,4,4,2,4,5,4,4,4,5,4,5,4,5,4,4,4,4,5,4,5,4,5
ここから,ここから,ココカラ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,5,1
いいえ,いいえ,イイエ,5,4,4,4,3,4,3,4,3,4,4,4,3,3,4,3,5,3,3,5,5,5,5,4,4,4,5,4,4,4,4,5,5,2,3,2,4,4,5,1,3,3,2,3,4,2,4,4,4,2,4,5,5,4,3,4,3,3,3
売る,うる,ウル,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,2,1,4,5,5,5,5,5,5,4,4,4,4,4,4,4,1,1,4,4,1,5,4,5,5,5,4,5,5,4,4,5,5,5,4,5,5,4,4,4,4,4,5,5
父親,ちちおや,チチオヤ,5,4,4,3,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,5,5,5,5,5,4,4,5,4,4,4,4,5,5,4,4,2,5,4,4,1,4,4,5,4,4,4,4,4,5,3,4,5,4,5,4,4,4,4,4
姫,ひめ,ヒメ,5,4,4,3,3,4,3,3,3,4,2,5,3,4,4,4,4,3,3,4,4,4,4,5,5,5,4,5,5,5,5,4,4,3,4,2,4,4,5,3,3,3,3,3,3,2,3,3,3,4,5,4,3,5,4,5,4,5,3
新,しん,シン,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,5,5,5,4,4,4,4,5,3,5,4,4,5,1,4,4,5,5,4,5,4,4,4,5,4,5,4,5,5,4,5,4,4
ほんとに,ほんとに,ホントニ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,4,1,1,3,5,1,1,3,1,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,4,1
まっ,まっ,マッ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,3,1,4,1,1,1,4,4,4,4,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,3,1,2,3,1
患者,かんじゃ,カンジャ,5,4,3,4,5,4,3,3,4,3,4,2,5,4,4,4,4,4,5,5,5,5,5,4,3,3,4,3,3,3,3,5,5,4,4,2,4,3,4,1,4,4,4,4,4,3,4,4,4,4,3,5,4,4,4,3,4,4,4
歩く,あるく,アルク,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,5,1,5,5,5,3,5,4,5,4,5,5,5,4,5,4,5,5,4,5,4,5,4,5,5
よいしょ,よいしょ,ヨイショ,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,1,1,1,1,4,4,4,4,1,4,4,2,4,4,4,3,2,3,1,4,1,2,4,4,4,4,4,2,4,4,4,4,4,4,2,1,4,1,1,1,1,1,3,4
どく,どく,ドク,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,3,4,4,4,2,4,2,2,4,4,4,4,4,2,2,3,4,2,2,2,4,5,3,2,3,3,3,2,3,3,3,3,2,4,3,3,2,3,2,3,3
母親,ははおや,ハハオヤ,5,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,5,4,4,5,5,5,5,5,4,5,5,4,4,5,4,5,5,4,4,2,5,4,4,1,4,4,5,4,4,4,4,4,5,4,4,5,5,5,4,4,4,4,4
人たち,ひとたち,ヒトタチ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,5,5,4,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,5,1
どうせ,どうせ,ドウセ,5,4,4,5,4,4,5,4,4,4,4,4,4,4,4,1,1,3,3,5,4,4,4,4,5,5,4,5,5,5,4,4,4,3,1,1,4,5,5,5,3,3,4,3,4,3,3,3,4,4,4,4,4,4,4,5,1,4,4
僕たち,ぼくたち,ボクタチ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,1,1,4,1,1,3,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,4,1
み,み,ミ,5,2,1,3,3,4,3,3,3,2,2,2,3,2,2,5,5,5,2,5,5,4,5,4,5,4,5,4,4,4,4,5,5,5,5,3,5,4,5,1,4,2,5,5,4,4,4,4,4,4,5,5,5,4,5,5,4,3,5
向こう,むこう,ムコウ,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,1,4,4,5,5,5,5,5,5,4,4,5,5,4,5,5,5,4,4,1,4,5,5,4,4,3,5,4,4,4,5,4,5,3,5,4,4,5,4,5,3,4,4
失敗,しっぱい,シッパイ,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,5,5,5,5,4,5,4,4,5,5,4,4,5,5,4,4,2,4,5,5,2,4,4,4,4,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5
