word,frequency,zipf_frequency
の,0.0525,7.72
に,0.0331,7.52
て,0.0302,7.48
は,0.0288,7.46
が,0.0269,7.43
た,0.0257,7.41
を,0.0257,7.41
で,0.0204,7.31
し,0.0166,7.22
と,0.0162,7.21
な,0.0117,7.07
ない,0.011,7.04
も,0.011,7.04
だ,0.00955,6.98
か,0.00871,6.94
ん,0.00794,6.9
から,0.00631,6.8
です,0.00617,6.79
する,0.00575,6.76
よ,0.0055,6.74
ます,0.00525,6.72
さ,0.00479,6.68
こと,0.00468,6.67
いる,0.00457,6.66
れ,0.00447,6.65
ね,0.00427,6.63
てる,0.00417,6.62
ある,0.00398,6.6
う,0.00389,6.59
い,0.0038,6.58
人,0.00363,6.56
1,0.00275,6.44
や,0.00269,6.43
2,0.0024,6.38
日,0.0024,6.38
いい,0.00234,6.37
なっ,0.00234,6.37
まし,0.00229,6.36
この,0.00224,6.35
そう,0.00224,6.35
って,0.00224,6.35
たら,0.00214,6.33
ば,0.00214,6.33
お,0.00209,6.32
けど,0.00209,6.32
これ,0.00204,6.31
よう,0.00204,6.31
3,0.00195,6.29
じゃ,0.00195,6.29
年,0.00186,6.27
その,0.00178,6.25
たい,0.0017,6.23
だけ,0.0017,6.23
まで,0.00166,6.22
的,0.00166,6.22
なる,0.00162,6.21
なら,0.00158,6.2
者,0.00158,6.2
月,0.00155,6.19
だっ,0.00151,6.18
見,0.00151,6.18
という,0.00148,6.17
中,0.00145,6.16
それ,0.00141,6.15
でも,0.00141,6.15
何,0.00141,6.15
れる,0.00135,6.13
だろ,0.00132,6.12
なく,0.00132,6.12
私,0.00132,6.12
ため,0.00129,6.11
わ,0.00126,6.1
時,0.00126,6.1
あり,0.00123,6.09
もの,0.00123,6.09
4,0.0012,6.08
へ,0.0012,6.08
一,0.0012,6.08
あっ,0.00117,6.07
さん,0.00117,6.07
ので,0.00117,6.07
今,0.00117,6.07
方,0.00117,6.07
き,0.00115,6.06
せ,0.00115,6.06
として,0.00115,6.06
5,0.00112,6.05
日本,0.00112,6.05
でき,0.0011,6.04
ませ,0.0011,6.04
やっ,0.0011,6.04
など,0.00107,6.03
思っ,0.00102,6.01
自分,0.00102,6.01
なかっ,0.001,6.0
られ,0.001,6.0
ー,0.000977,5.99
より,0.000955,5.98
とか,0.000933,5.97
俺,0.000933,5.97
前,0.000933,5.97
気,0.000912,5.96
時間,0.000891,5.95
どう,0.000871,5.94
でしょ,0.000832,5.92
また,0.000832,5.92
もう,0.000832,5.92
目,0.000813,5.91
言っ,0.000813,5.91
え,0.000794,5.9
できる,0.000794,5.9
なり,0.000776,5.89
話,0.000776,5.89
くれ,0.000759,5.88
事,0.000759,5.88
出,0.000759,5.88
ず,0.000724,5.86
思う,0.000724,5.86
8,0.000661,5.82
かも,0.000661,5.82
分,0.000661,5.82
家,0.000661,5.82
6,0.000646,5.81
たり,0.000646,5.81
ご,0.000631,5.8
み,0.000631,5.8
円,0.000631,5.8
7,0.000617,5.79
後,0.000617,5.79
のに,0.000603,5.78
みたい,0.000603,5.78
ください,0.000589,5.77
たち,0.000589,5.77
二,0.000589,5.77
好き,0.000589,5.77
良い,0.000589,5.77
ここ,0.000575,5.76
ぞ,0.000575,5.76
大,0.000575,5.76
性,0.000575,5.76
9,0.000562,5.75
上,0.000562,5.75
回,0.000562,5.75
考え,0.000562,5.75
感じ,0.00055,5.74
数,0.00055,5.74
必要,0.000537,5.73
行っ,0.000537,5.73
♪,0.000525,5.72
そんな,0.000525,5.72
なんて,0.000525,5.72
ら,0.000525,5.72
万,0.000525,5.72
来,0.000525,5.72
ちょっと,0.000513,5.71
世界,0.000513,5.71
他,0.000513,5.71
本,0.000513,5.71
誰,0.000513,5.71
ありがとう,0.000501,5.7
あれ,0.000501,5.7
つ,0.000501,5.7
でし,0.00049,5.69
よく,0.00049,5.69
化,0.00049,5.69
第,0.00049,5.69
ああ,0.000479,5.68
しか,0.000479,5.68
ところ,0.000479,5.68
仕事,0.000479,5.68
言う,0.000479,5.68
市,0.000468,5.67
県,0.000468,5.67
0,0.000457,5.66
あなた,0.000457,5.66
おり,0.000457,5.66
こんな,0.000457,5.66
について,0.000457,5.66
られる,0.000457,5.66
同じ,0.000457,5.66
問題,0.000457,5.66
a,0.000447,5.65
w,0.000447,5.65
まだ,0.000447,5.65
言わ,0.000447,5.65
とき,0.000437,5.64
度,0.000437,5.64
系,0.000437,5.64
手,0.000427,5.63
くる,0.000417,5.62
みんな,0.000417,5.62
ゲーム,0.000417,5.62
そして,0.000407,5.61
思い,0.000407,5.61
情報,0.000407,5.61
くらい,0.000398,5.6
しよ,0.000398,5.6
三,0.000398,5.6
関係,0.000398,5.6
くれる,0.000389,5.59
たく,0.000389,5.59
ながら,0.000389,5.59
会,0.000389,5.59
僕,0.000389,5.59
力,0.000389,5.59
国,0.00038,5.58
しかし,0.000372,5.57
今日,0.000372,5.57
持っ,0.000372,5.57
本当に,0.000372,5.57
m,0.000363,5.56
ちゃん,0.000363,5.56
以上,0.000363,5.56
可能,0.000363,5.56
場合,0.000363,5.56
多い,0.000363,5.56
子,0.000363,5.56
車,0.000363,5.56
金,0.000363,5.56
あ,0.000355,5.55
あの,0.000355,5.55
どこ,0.000355,5.55
なん,0.000355,5.55
男,0.000355,5.55
間,0.000355,5.55
せる,0.000347,5.54
なんか,0.000347,5.54
出来,0.000347,5.54
所,0.000347,5.54
すぎ,0.000339,5.53
人間,0.000339,5.53
使っ,0.000339,5.53
名,0.000339,5.53
女,0.000339,5.53
知ら,0.000339,5.53
s,0.000331,5.52
あと,0.000331,5.52
いう,0.000331,5.52
いく,0.000331,5.52
しれ,0.000331,5.52
やる,0.000331,5.52
位,0.000331,5.52
様,0.000331,5.52
次,0.000331,5.52
行く,0.000331,5.52
しまっ,0.000324,5.51
ほど,0.000324,5.51
入れ,0.000324,5.51
欲しい,0.000324,5.51
無い,0.000324,5.51
the,0.000316,5.5
すぐ,0.000316,5.5
ただ,0.000316,5.5
ましょ,0.000316,5.5
わけ,0.000316,5.5
ノ,0.000316,5.5
入っ,0.000316,5.5
女性,0.000316,5.5
東京,0.000316,5.5
歳,0.000316,5.5
見る,0.000316,5.5
べき,0.000309,5.49
意味,0.000309,5.49
そこ,0.000302,5.48
っ,0.000302,5.48
一緒,0.000302,5.48
多く,0.000302,5.48
b,0.000295,5.47
́,0.000295,5.47
うち,0.000295,5.47
なぁ,0.000295,5.47
君,0.000295,5.47
いっ,0.000288,5.46
ござい,0.000288,5.46
によって,0.000288,5.46
もっと,0.000288,5.46
使用,0.000288,5.46
店,0.000288,5.46
悪い,0.000288,5.46
新,0.000288,5.46
生,0.000288,5.46
結果,0.000288,5.46
食べ,0.000288,5.46
いや,0.000282,5.45
しまう,0.000282,5.45
ぜ,0.000282,5.45
先,0.000282,5.45
内,0.000282,5.45
写真,0.000282,5.45
参加,0.000282,5.45
感,0.000282,5.45
物,0.000282,5.45
知っ,0.000282,5.45
聞い,0.000282,5.45
顔,0.000282,5.45
c,0.000275,5.44
お願い,0.000275,5.44
だって,0.000275,5.44
やつ,0.000275,5.44
会社,0.000275,5.44
声,0.000275,5.44
最近,0.000275,5.44
用,0.000275,5.44
違う,0.000275,5.44
による,0.000269,5.43
ま,0.000269,5.43
十,0.000269,5.43
少し,0.000269,5.43
時代,0.000269,5.43
頭,0.000269,5.43
i,0.000263,5.42
いつも,0.000263,5.42
お前,0.000263,5.42
こ,0.000263,5.42
わから,0.000263,5.42
アメリカ,0.000263,5.42
代,0.000263,5.42
子供,0.000263,5.42
彼,0.000263,5.42
心,0.000263,5.42
高,0.000263,5.42
l,0.000257,5.41
t,0.000257,5.41
こちら,0.000257,5.41
アニメ,0.000257,5.41
サイト,0.000257,5.41
名前,0.000257,5.41
無料,0.000257,5.41
版,0.000257,5.41
神,0.000257,5.41
等,0.000257,5.41
超,0.000257,5.41
つけ,0.000251,5.4
下,0.000251,5.4
元,0.000251,5.4
別,0.000251,5.4
場所,0.000251,5.4
最後,0.000251,5.4
部,0.000251,5.4
高い,0.000251,5.4
いけ,0.000245,5.39
すれ,0.000245,5.39
一番,0.000245,5.39
出し,0.000245,5.39
受け,0.000245,5.39
大丈夫,0.000245,5.39
町,0.000245,5.39
言葉,0.000245,5.39
奴,0.00024,5.38
映画,0.00024,5.38
氏,0.00024,5.38
点,0.00024,5.38
社会,0.000234,5.37
でる,0.000229,5.36
なけれ,0.000229,5.36
作っ,0.000229,5.36
方法,0.000229,5.36
最初,0.000229,5.36
理由,0.000229,5.36
相手,0.000229,5.36
見え,0.000229,5.36
すごい,0.000224,5.35
とても,0.000224,5.35
もん,0.000224,5.35
体,0.000224,5.35
作品,0.000224,5.35
動画,0.000224,5.35
型,0.000224,5.35
始め,0.000224,5.35
彼女,0.000224,5.35
頃,0.000224,5.35
駅,0.000224,5.35
かけ,0.000219,5.34
ちゃう,0.000219,5.34
はず,0.000219,5.34
らしい,0.000219,5.34
下さい,0.000219,5.34
企業,0.000219,5.34
利用,0.000219,5.34
存在,0.000219,5.34
曲,0.000219,5.34
漫画,0.000219,5.34
無理,0.000219,5.34
現在,0.000219,5.34
買っ,0.000219,5.34
d,0.000214,5.33
す,0.000214,5.33
ちゃ,0.000214,5.33
わかる,0.000214,5.33
以外,0.000214,5.33
水,0.000214,5.33
行き,0.000214,5.33
言え,0.000214,5.33
なに,0.000209,5.32
やめ,0.000209,5.32
事件,0.000209,5.32
普通,0.000209,5.32
番,0.000209,5.32
通り,0.000209,5.32
達,0.000209,5.32
ちゃっ,0.000204,5.31
つい,0.000204,5.31
ねえ,0.000204,5.31
女子,0.000204,5.31
学校,0.000204,5.31
得,0.000204,5.31
最高,0.000204,5.31
状態,0.000204,5.31
画像,0.000204,5.31
発売,0.000204,5.31
簡単,0.000204,5.31
約,0.000204,5.31
絶対,0.000204,5.31
̄,0.0002,5.3
ほう,0.0002,5.3
まあ,0.0002,5.3
中国,0.0002,5.3
側,0.0002,5.3
先生,0.0002,5.3
実際,0.0002,5.3
気持ち,0.0002,5.3
確認,0.0002,5.3
開催,0.0002,5.3
すぎる,0.000195,5.29
なし,0.000195,5.29
ほしい,0.000195,5.29
まま,0.000195,5.29
今回,0.000195,5.29
全部,0.000195,5.29
夜,0.000195,5.29
テレビ,0.000191,5.28
個人,0.000191,5.28
外,0.000191,5.28
忘れ,0.000191,5.28
探し,0.000191,5.28
教え,0.000191,5.28
早く,0.000191,5.28
枚,0.000191,5.28
機,0.000191,5.28
法,0.000191,5.28
結婚,0.000191,5.28
○,0.000186,5.27
いえ,0.000186,5.27
ずっと,0.000186,5.27
やり,0.000186,5.27
一つ,0.000186,5.27
出来る,0.000186,5.27
初めて,0.000186,5.27
友達,0.000186,5.27
場,0.000186,5.27
生活,0.000186,5.27
色,0.000186,5.27
言い,0.000186,5.27
やら,0.000182,5.26
ダメ,0.000182,5.26
cm,0.000178,5.25
x,0.000178,5.25
かなり,0.000178,5.25
どんな,0.000178,5.25
にて,0.000178,5.25
により,0.000178,5.25
ねぇ,0.000178,5.25
のみ,0.000178,5.25
よかっ,0.000178,5.25
人気,0.000178,5.25
公開,0.000178,5.25
初,0.000178,5.25
区,0.000178,5.25
新しい,0.000178,5.25
書い,0.000178,5.25
理解,0.000178,5.25
こう,0.000174,5.24
さらに,0.000174,5.24
なぜ,0.000174,5.24
全て,0.000174,5.24
内容,0.000174,5.24
向け,0.000174,5.24
大阪,0.000174,5.24
女の子,0.000174,5.24
娘,0.000174,5.24
対応,0.000174,5.24
放送,0.000174,5.24
活動,0.000174,5.24
状況,0.000174,5.24
登場,0.000174,5.24
続け,0.000174,5.24
販売,0.000174,5.24
起き,0.000174,5.24
音,0.000174,5.24
f,0.00017,5.23
p,0.00017,5.23
r,0.00017,5.23
v,0.00017,5.23
こそ,0.00017,5.23
とも,0.00017,5.23
みる,0.00017,5.23
ネット,0.00017,5.23
全,0.00017,5.23
出る,0.00017,5.23
夢,0.00017,5.23
大変,0.00017,5.23
完全,0.00017,5.23
技術,0.00017,5.23
特に,0.00017,5.23
研究,0.00017,5.23
説明,0.00017,5.23
o,0.000166,5.22
く,0.000166,5.22
せい,0.000166,5.22
そういう,0.000166,5.22
ばかり,0.000166,5.22
式,0.000166,5.22
待っ,0.000166,5.22
思わ,0.000166,5.22
発表,0.000166,5.22
道,0.000166,5.22
風,0.000166,5.22
お金,0.000162,5.21
たくさん,0.000162,5.21
どの,0.000162,5.21
なあ,0.000162,5.21
もちろん,0.000162,5.21
イベント,0.000162,5.21
システム,0.000162,5.21
一般,0.000162,5.21
件,0.000162,5.21
攻撃,0.000162,5.21
無,0.000162,5.21
自身,0.000162,5.21
良かっ,0.000162,5.21
部分,0.000162,5.21
電話,0.000162,5.21
ちゃんと,0.000158,5.2
ニュース,0.000158,5.2
マジ,0.000158,5.2
予定,0.000158,5.2
全員,0.000158,5.2
分から,0.000158,5.2
口,0.000158,5.2
愛,0.000158,5.2
戦争,0.000158,5.2
明日,0.000158,5.2
登録,0.000158,5.2
確か,0.000158,5.2
紹介,0.000158,5.2
終わっ,0.000158,5.2
良く,0.000158,5.2
花,0.000158,5.2
e,0.000155,5.19
☆,0.000155,5.19
いつ,0.000155,5.19
すべて,0.000155,5.19
号,0.000155,5.19
機能,0.000155,5.19
計画,0.000155,5.19
設定,0.000155,5.19
調査,0.000155,5.19
重要,0.000155,5.19
g,0.000151,5.18
★,0.000151,5.18
かわいい,0.000151,5.18
これから,0.000151,5.18
ち,0.000151,5.18
なきゃ,0.000151,5.18
に対して,0.000151,5.18
る,0.000151,5.18
チーム,0.000151,5.18
人生,0.000151,5.18
使う,0.000151,5.18
員,0.000151,5.18
屋,0.000151,5.18
形,0.000151,5.18
昔,0.000151,5.18
朝,0.000151,5.18
来る,0.000151,5.18
生き,0.000151,5.18
目的,0.000151,5.18
自由,0.000151,5.18
記事,0.000151,5.18
過ぎ,0.000151,5.18
開始,0.000151,5.18
開発,0.000151,5.18
際,0.000151,5.18
うん,0.000148,5.17
ねー,0.000148,5.17
まい,0.000148,5.17
地,0.000148,5.17
家族,0.000148,5.17
影響,0.000148,5.17
政府,0.000148,5.17
死ん,0.000148,5.17
男性,0.000148,5.17
読ん,0.000148,5.17
部屋,0.000148,5.17
限定,0.000148,5.17
韓国,0.000148,5.17
おい,0.000145,5.16
にとって,0.000145,5.16
やっぱり,0.000145,5.16
地域,0.000145,5.16
基本,0.000145,5.16
夏,0.000145,5.16
姿,0.000145,5.16
期間,0.000145,5.16
注意,0.000145,5.16
率,0.000145,5.16
管理,0.000145,5.16
英語,0.000145,5.16
街,0.000145,5.16
j,0.000141,5.15
ω,0.000141,5.15
しろ,0.000141,5.15
だから,0.000141,5.15
め,0.000141,5.15
カード,0.000141,5.15
大学,0.000141,5.15
室,0.000141,5.15
強い,0.000141,5.15
撮影,0.000141,5.15
質問,0.000141,5.15
長,0.000141,5.15
h,0.000138,5.14
やすい,0.000138,5.14
わかっ,0.000138,5.14
以前,0.000138,5.14
似,0.000138,5.14
安全,0.000138,5.14
戦,0.000138,5.14
決定,0.000138,5.14
為,0.000138,5.14
王,0.000138,5.14
見える,0.000138,5.14
記念,0.000138,5.14
足,0.000138,5.14
軍,0.000138,5.14
連絡,0.000138,5.14
of,0.000135,5.13
はい,0.000135,5.13
やろ,0.000135,5.13
エロ,0.000135,5.13
シリーズ,0.000135,5.13
ライブ,0.000135,5.13
以下,0.000135,5.13
入り,0.000135,5.13
公式,0.000135,5.13
大きな,0.000135,5.13
大事,0.000135,5.13
毎日,0.000135,5.13
終了,0.000135,5.13
違い,0.000135,5.13
音楽,0.000135,5.13
け,0.000132,5.12
ほとんど,0.000132,5.12
まとめ,0.000132,5.12
んで,0.000132,5.12
アプリ,0.000132,5.12
マン,0.000132,5.12
モデル,0.000132,5.12
個,0.000132,5.12
効果,0.000132,5.12
増え,0.000132,5.12
寝,0.000132,5.12
政治,0.000132,5.12
書,0.000132,5.12
期待,0.000132,5.12
病院,0.000132,5.12
着,0.000132,5.12
結構,0.000132,5.12
行動,0.000132,5.12
過去,0.000132,5.12
and,0.000129,5.11
あまり,0.000129,5.11
こっち,0.000129,5.11
どれ,0.000129,5.11
期,0.000129,5.11
歴史,0.000129,5.11
派,0.000129,5.11
米,0.000129,5.11
線,0.000129,5.11
覚え,0.000129,5.11
話し,0.000129,5.11
─,0.000126,5.1
こいつ,0.000126,5.1
とこ,0.000126,5.1
なれ,0.000126,5.1
において,0.000126,5.1
イメージ,0.000126,5.1
バカ,0.000126,5.1
レベル,0.000126,5.1
一部,0.000126,5.1
使わ,0.000126,5.1
再,0.000126,5.1
台,0.000126,5.1
同,0.000126,5.1
実は,0.000126,5.1
帰っ,0.000126,5.1
最終,0.000126,5.1
楽しみ,0.000126,5.1
海外,0.000126,5.1
犬,0.000126,5.1
考える,0.000126,5.1
評価,0.000126,5.1
警察,0.000126,5.1
追加,0.000126,5.1
選手,0.000126,5.1
関連,0.000126,5.1
k,0.000123,5.09
たかっ,0.000123,5.09
っていう,0.000123,5.09
なー,0.000123,5.09
もらっ,0.000123,5.09
わかり,0.000123,5.09
クソ,0.000123,5.09
サービス,0.000123,5.09
作る,0.000123,5.09
光,0.000123,5.09
全く,0.000123,5.09
全国,0.000123,5.09
希望,0.000123,5.09
怖い,0.000123,5.09
教育,0.000123,5.09
母,0.000123,5.09
海,0.000123,5.09
特別,0.000123,5.09
番組,0.000123,5.09
週間,0.000123,5.09
面白い,0.000123,5.09
twitter,0.00012,5.08
いき,0.00012,5.08
いただき,0.00012,5.08
ぐらい,0.00012,5.08
じゃあ,0.00012,5.08
その後,0.00012,5.08
なんで,0.00012,5.08
゚,0.00012,5.08
デザイン,0.00012,5.08
主,0.00012,5.08
事故,0.00012,5.08
事業,0.00012,5.08
付け,0.00012,5.08
全然,0.00012,5.08
千,0.00012,5.08
環境,0.00012,5.08
社,0.00012,5.08
経済,0.00012,5.08
議員,0.00012,5.08
近く,0.00012,5.08
ええ,0.000117,5.07
つまり,0.000117,5.07
り,0.000117,5.07
データ,0.000117,5.07
ファン,0.000117,5.07
メール,0.000117,5.07
リンク,0.000117,5.07
ヶ月,0.000117,5.07
各,0.000117,5.07
変え,0.000117,5.07
嫌,0.000117,5.07
専門,0.000117,5.07
成功,0.000117,5.07
持つ,0.000117,5.07
文化,0.000117,5.07
映像,0.000117,5.07
検索,0.000117,5.07
楽し,0.000117,5.07
死ぬ,0.000117,5.07
父,0.000117,5.07
発見,0.000117,5.07
to,0.000115,5.06
じ,0.000115,5.06
まず,0.000115,5.06
与え,0.000115,5.06
主義,0.000115,5.06
出演,0.000115,5.06
協力,0.000115,5.06
品,0.000115,5.06
嘘,0.000115,5.06
最大,0.000115,5.06
本当,0.000115,5.06
程度,0.000115,5.06
色々,0.000115,5.06
落ち,0.000115,5.06
逆,0.000115,5.06
量,0.000115,5.06
飲ん,0.000115,5.06
in,0.000112,5.05
プロ,0.000112,5.05
メンバー,0.000112,5.05
今年,0.000112,5.05
代表,0.000112,5.05
変わっ,0.000112,5.05
変更,0.000112,5.05
多分,0.000112,5.05
契約,0.000112,5.05
心配,0.000112,5.05
敵,0.000112,5.05
昨日,0.000112,5.05
猫,0.000112,5.05
生まれ,0.000112,5.05
発生,0.000112,5.05
組,0.000112,5.05
経験,0.000112,5.05
絵,0.000112,5.05
興味,0.000112,5.05
話題,0.000112,5.05
責任,0.000112,5.05
酒,0.000112,5.05
限り,0.000112,5.05
難しい,0.000112,5.05
n,0.00011,5.04
あげ,0.00011,5.04
まぁ,0.00011,5.04
バス,0.00011,5.04
ブログ,0.00011,5.04
ポイント,0.00011,5.04
元気,0.00011,5.04
入る,0.00011,5.04
可愛い,0.00011,5.04
商品,0.00011,5.04
対象,0.00011,5.04
小,0.00011,5.04
年間,0.00011,5.04
支援,0.00011,5.04
残念,0.00011,5.04
決め,0.00011,5.04
白,0.00011,5.04
百,0.00011,5.04
終わり,0.00011,5.04
被害,0.00011,5.04
見つけ,0.00011,5.04
試し,0.00011,5.04
語,0.00011,5.04
運転,0.00011,5.04
選挙,0.00011,5.04
非常,0.00011,5.04
面,0.00011,5.04
●,0.000107,5.03
々,0.000107,5.03
に対する,0.000107,5.03
ぬ,0.000107,5.03
タイプ,0.000107,5.03
企画,0.000107,5.03
使い,0.000107,5.03
億,0.000107,5.03
勉強,0.000107,5.03
報告,0.000107,5.03
彼ら,0.000107,5.03
星,0.000107,5.03
服,0.000107,5.03
流れ,0.000107,5.03
移動,0.000107,5.03
行う,0.000107,5.03
表示,0.000107,5.03
記録,0.000107,5.03
間違い,0.000107,5.03
かい,0.000105,5.02
くん,0.000105,5.02
すごく,0.000105,5.02
なお,0.000105,5.02
スポーツ,0.000105,5.02
チェック,0.000105,5.02
全体,0.000105,5.02
変,0.000105,5.02
妻,0.000105,5.02
嫌い,0.000105,5.02
文字,0.000105,5.02
施設,0.000105,5.02
最も,0.000105,5.02
楽しい,0.000105,5.02
秒,0.000105,5.02
笑,0.000105,5.02
能力,0.000105,5.02
見せ,0.000105,5.02
観,0.000105,5.02
訳,0.000105,5.02
誕生,0.000105,5.02
運動,0.000105,5.02
配信,0.000105,5.02
ch,0.000102,5.01
y,0.000102,5.01
いか,0.000102,5.01
その他,0.000102,5.01
つつ,0.000102,5.01
つもり,0.000102,5.01
とりあえず,0.000102,5.01
なかなか,0.000102,5.01
ほぼ,0.000102,5.01
もし,0.000102,5.01
一方,0.000102,5.01
価値,0.000102,5.01
保護,0.000102,5.01
倍,0.000102,5.01
官,0.000102,5.01
意識,0.000102,5.01
感じる,0.000102,5.01
木,0.000102,5.01
権,0.000102,5.01
詳細,0.000102,5.01
認め,0.000102,5.01
調べ,0.000102,5.01
黒,0.000102,5.01
u,0.0001,5.0
こういう,0.0001,5.0
に関する,0.0001,5.0
作り,0.0001,5.0
周,0.0001,5.0
味,0.0001,5.0
呼ば,0.0001,5.0
失敗,0.0001,5.0
展開,0.0001,5.0
山,0.0001,5.0
担当,0.0001,5.0
提供,0.0001,5.0
時期,0.0001,5.0
気分,0.0001,5.0
求め,0.0001,5.0
答え,0.0001,5.0
精神,0.0001,5.0
組織,0.0001,5.0
買う,0.0001,5.0
飲み,0.0001,5.0
高校,0.0001,5.0
いま,9.77e-05,4.99
おく,9.77e-05,4.99
しっかり,9.77e-05,4.99
そのまま,9.77e-05,4.99
それぞれ,9.77e-05,4.99
ほか,9.77e-05,4.99
タイトル,9.77e-05,4.99
中心,9.77e-05,4.99
交換,9.77e-05,4.99
会い,9.77e-05,4.99
割,9.77e-05,4.99
原因,9.77e-05,4.99
大人,9.77e-05,4.99
嬉しい,9.77e-05,4.99
学生,9.77e-05,4.99
安心,9.77e-05,4.99
幸せ,9.77e-05,4.99
投稿,9.77e-05,4.99
歌,9.77e-05,4.99
死,9.77e-05,4.99
薬,9.77e-05,4.99
行わ,9.77e-05,4.99
表現,9.77e-05,4.99
解決,9.77e-05,4.99
運営,9.77e-05,4.99
nhk,9.55e-05,4.98
you,9.55e-05,4.98
いろいろ,9.55e-05,4.98
おお,9.55e-05,4.98
ごめん,9.55e-05,4.98
しかも,9.55e-05,4.98
そんなに,9.55e-05,4.98
キャラ,9.55e-05,4.98
例,9.55e-05,4.98
危険,9.55e-05,4.98
右,9.55e-05,4.98
営業,9.55e-05,4.98
当時,9.55e-05,4.98
感謝,9.55e-05,4.98
料理,9.55e-05,4.98
日本人,9.55e-05,4.98
自然,9.55e-05,4.98
it,9.33e-05,4.97
きっと,9.33e-05,4.97
さえ,9.33e-05,4.97
カメラ,9.33e-05,4.97
グループ,9.33e-05,4.97
セット,9.33e-05,4.97
ネタ,9.33e-05,4.97
事実,9.33e-05,4.97
信じ,9.33e-05,4.97
出す,9.33e-05,4.97
分かっ,9.33e-05,4.97
判断,9.33e-05,4.97
動物,9.33e-05,4.97
国内,9.33e-05,4.97
大会,9.33e-05,4.97
大好き,9.33e-05,4.97
巻,9.33e-05,4.97
師,9.33e-05,4.97
悪く,9.33e-05,4.97
想像,9.33e-05,4.97
春,9.33e-05,4.97
未,9.33e-05,4.97
準備,9.33e-05,4.97
自動,9.33e-05,4.97
行け,9.33e-05,4.97
記憶,9.33e-05,4.97
試合,9.33e-05,4.97
身,9.33e-05,4.97
ok,9.12e-05,4.96
pc,9.12e-05,4.96
どっち,9.12e-05,4.96
もっ,9.12e-05,4.96
ろ,9.12e-05,4.96
ページ,9.12e-05,4.96
乗っ,9.12e-05,4.96
今度,9.12e-05,4.96
分かる,9.12e-05,4.96
労働,9.12e-05,4.96
大きく,9.12e-05,4.96
大切,9.12e-05,4.96
居,9.12e-05,4.96
未来,9.12e-05,4.96
沖縄,9.12e-05,4.96
現実,9.12e-05,4.96
用意,9.12e-05,4.96
科学,9.12e-05,4.96
種,9.12e-05,4.96
結局,9.12e-05,4.96
美,9.12e-05,4.96
親,9.12e-05,4.96
www,8.91e-05,4.95
アップ,8.91e-05,4.95
ガン,8.91e-05,4.95
ドラマ,8.91e-05,4.95
上げ,8.91e-05,4.95
予約,8.91e-05,4.95
仲間,8.91e-05,4.95
位置,8.91e-05,4.95
作,8.91e-05,4.95
印象,8.91e-05,4.95
反応,8.91e-05,4.95
少ない,8.91e-05,4.95
島,8.91e-05,4.95
日本語,8.91e-05,4.95
本人,8.91e-05,4.95
番号,8.91e-05,4.95
空,8.91e-05,4.95
綺麗,8.91e-05,4.95
裏,8.91e-05,4.95
近い,8.91e-05,4.95
銀行,8.91e-05,4.95
長い,8.91e-05,4.95
あー,8.71e-05,4.94
いっぱい,8.71e-05,4.94
もらう,8.71e-05,4.94
センター,8.71e-05,4.94
不明,8.71e-05,4.94
京都,8.71e-05,4.94
出会い,8.71e-05,4.94
参考,8.71e-05,4.94
友人,8.71e-05,4.94
地球,8.71e-05,4.94
実施,8.71e-05,4.94
必ず,8.71e-05,4.94
更新,8.71e-05,4.94
皆,8.71e-05,4.94
購入,8.71e-05,4.94
重,8.71e-05,4.94
階,8.71e-05,4.94
馬,8.71e-05,4.94
いたし,8.51e-05,4.93
えっ,8.51e-05,4.93
ごと,8.51e-05,4.93
どうぞ,8.51e-05,4.93
ぼく,8.51e-05,4.93
やん,8.51e-05,4.93
よし,8.51e-05,4.93
シーン,8.51e-05,4.93
スーパー,8.51e-05,4.93
ン,8.51e-05,4.93
人々,8.51e-05,4.93
使え,8.51e-05,4.93
卒業,8.51e-05,4.93
周り,8.51e-05,4.93
四,8.51e-05,4.93
国民,8.51e-05,4.93
多,8.51e-05,4.93
大統領,8.51e-05,4.93
宇宙,8.51e-05,4.93
対策,8.51e-05,4.93
少女,8.51e-05,4.93
携帯,8.51e-05,4.93
時点,8.51e-05,4.93
村,8.51e-05,4.93
正直,8.51e-05,4.93
皆さん,8.51e-05,4.93
真,8.51e-05,4.93
肉,8.51e-05,4.93
行か,8.51e-05,4.93
頑張っ,8.51e-05,4.93
no,8.32e-05,4.92
かかる,8.32e-05,4.92
どちら,8.32e-05,4.92
なんと,8.32e-05,4.92
コメント,8.32e-05,4.92
トップ,8.32e-05,4.92
以降,8.32e-05,4.92
価格,8.32e-05,4.92
取っ,8.32e-05,4.92
合わせ,8.32e-05,4.92
学,8.32e-05,4.92
差,8.32e-05,4.92
弾,8.32e-05,4.92
思え,8.32e-05,4.92
息子,8.32e-05,4.92
明らか,8.32e-05,4.92
楽,8.32e-05,4.92
止め,8.32e-05,4.92
消費,8.32e-05,4.92
火,8.32e-05,4.92
犯罪,8.32e-05,4.92
監督,8.32e-05,4.92
素晴らしい,8.32e-05,4.92
経営,8.32e-05,4.92
置い,8.32e-05,4.92
船,8.32e-05,4.92
良,8.32e-05,4.92
読み,8.32e-05,4.92
負け,8.32e-05,4.92
通常,8.32e-05,4.92
障害,8.32e-05,4.92
電車,8.32e-05,4.92
食べる,8.32e-05,4.92
