word,hiragana,katakana,JPDB_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,KOKUGOJITEN,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
ホール,ホール,ホール,1293,2581,2348,5421,1716,2876,4170,2391,2712,4323,2261,1590,2443,2009,3619,1146,6012,-1,4300,1967,7170,5357,2849,-1,-1,3135,-1,-1,2337,4101,3831,7284,5684,2046,2171,2588,-1,860,3488,7876,6680,5283,2336,1678,2726,2729,3750,8238,3529,3264,2272,2431,8008,3783,5589,5226,3035,2757,3275,1322,4502,3523
コップ,コップ,コップ,1301,1528,1414,1169,7639,2876,1688,4014,2712,2308,805,1238,4541,1415,1635,17433,10816,-1,11365,7727,9231,8645,7071,-1,-1,3414,-1,-1,2636,20526,19238,8135,6370,8561,8967,9929,-1,14566,3595,13049,3924,15337,9454,13548,6929,9572,9880,12384,9818,9858,9855,7916,14301,3794,9005,-1,4563,9478,3773,16906,6947,3838
ミルク,ミルク,ミルク,1313,3170,3142,2179,7639,2876,4170,4014,4667,1980,6377,2907,3839,5523,2267,9986,5255,-1,8156,4325,7198,3742,2921,-1,-1,6988,-1,-1,4783,5278,4926,3796,3840,2613,2826,7205,-1,10314,7519,6102,4995,12541,4301,8576,2745,4557,5197,3450,5082,4993,5129,3104,16835,4919,3918,-1,4588,4450,2769,8731,6751,3116
ゆったり,ゆったり,ユッタリ,1314,6881,5828,7212,7639,2876,1688,4014,1896,8262,5138,11052,11750,5523,8749,23497,19978,-1,9261,2969,8476,18715,15962,2095,16380,5830,19919,16926,4760,19919,18668,16263,6809,19410,21485,6773,1080,-1,8555,17306,15507,6030,5532,23353,3358,5738,6260,9640,6140,6133,6204,4371,4648,4710,19271,-1,5273,11941,5103,23627,11765,6621
ちん,ちん,チン,1326,3322,2647,5421,7639,2876,4170,4014,4667,2435,3728,2276,7431,7239,2267,15845,4231,377,-1,15046,3632,6577,9745,1804,5646,9247,6972,4535,3086,2841,2647,3510,974,-1,20911,7867,18350,6478,2895,7872,3671,787,17949,24008,15319,17974,18112,19434,18104,18116,1404,9203,2459,18259,6840,-1,8622,2111,3947,7759,13532,7333
へん,へん,ヘン,1348,525,459,2034,566,1733,4170,4014,278,616,315,1731,868,412,749,12855,566,99,8830,8733,434,1109,1516,1017,1562,1050,1898,2231,1001,1898,1764,2160,1789,5144,4276,3131,320,3758,722,4165,1144,1273,6205,6231,7136,6395,6868,1615,6742,1575,2133,5013,2632,735,1188,7829,2031,2936,229,11368,1812,694
くるくる,くるくる,クルクル,1350,2944,2348,4421,7639,2876,1304,4014,1428,4862,2261,1731,11750,3486,2534,-1,14045,-1,16128,15078,10108,18512,15727,2307,14032,8684,17576,12786,5380,17576,16472,12294,4905,-1,24906,17286,999,-1,7374,16824,15464,21320,6591,23484,4163,6770,7215,10288,7100,7135,7167,7712,16186,4945,19062,-1,7476,17997,3423,24196,9855,6920
バッグ,バッグ,バッグ,1357,2246,1890,2894,3549,2876,1304,4014,4667,2173,1629,1876,5541,3293,1716,9749,4641,-1,4776,2337,3317,2419,2088,-1,-1,2964,-1,-1,2410,11568,10850,6157,4856,1584,1840,5642,-1,17353,3342,8067,6135,16665,4505,23255,2643,4751,2474,9076,5242,5180,5301,866,15503,3910,2537,8521,2354,3178,3144,14600,3003,3277
リスト,リスト,リスト,1358,2636,5005,3237,764,1733,2405,4014,4667,4862,3262,6998,1089,2238,3234,1639,5249,-1,5697,1495,3173,1908,1727,-1,-1,6439,-1,-1,4599,5057,4717,4346,8128,724,826,1785,-1,3739,6602,6454,3928,17455,1242,743,3983,1799,632,2417,2894,2389,2946,1374,12996,4714,2009,-1,4515,1554,5185,1704,3665,2769
クリスマス,クリスマス,クリスマス,1359,1782,1464,5421,1716,2876,1050,1705,1428,2435,1462,1876,2095,2009,1635,4097,3290,-1,5617,1333,3653,1443,1109,-1,-1,4138,-1,-1,3956,6794,6355,796,3988,1201,1372,2466,4019,1375,4249,6033,1763,11327,2625,13187,1468,2989,3937,2237,3739,3507,3791,958,12802,6671,1519,-1,4300,2441,2497,3645,3168,2395
フード,フード,フード,1364,1800,2209,932,4754,2876,4170,4014,2712,935,4264,11052,2443,1879,1766,6425,12894,-1,8226,2279,10227,6622,3872,-1,-1,10464,-1,-1,6396,9732,9124,4983,14424,2918,3310,5774,-1,7697,11497,14066,13435,19163,5048,16348,3245,5268,2514,5716,1310,5680,5767,2421,20228,2675,6887,786,5119,5172,4946,6963,5512,4022
タイトル,タイトル,タイトル,1366,2523,2722,4421,1152,2876,4170,2391,4667,1734,4264,4109,2095,1775,4411,543,6277,-1,4432,1362,6889,5168,4329,-1,-1,6903,-1,-1,5042,9614,9014,2703,6554,7769,7555,1406,3690,965,6932,7099,3807,20216,378,825,231,1194,552,2140,1443,1876,2613,851,8111,6509,5398,1381,4154,929,4495,466,991,1566
スプーン,スプーン,スプーン,1367,1319,1334,833,7639,2876,4170,4014,4667,1242,762,1383,5541,1198,1443,21753,12507,-1,12903,8939,11624,6727,5829,-1,-1,8291,-1,-1,6029,13403,12564,6545,6122,8889,8241,11156,6826,-1,8660,14123,9003,20211,7750,23677,5162,7901,8272,11093,8185,8237,2206,6808,23102,5477,7000,-1,7159,10738,4192,18930,9200,4917
スーパー,スーパー,スーパー,1379,1021,964,899,2913,2876,4170,4014,685,975,1819,733,1051,1328,861,777,1786,-1,4100,1434,3133,1970,1451,-1,-1,5489,-1,-1,3788,2242,2080,2156,4648,1672,1184,1940,5428,1161,5374,3226,2936,9566,1754,3781,995,2222,3445,3255,1686,2791,366,983,11189,6377,2072,-1,4205,1063,3490,678,2505,1362
ぽん,ぽん,ポン,1388,2809,2919,2363,3549,1259,4170,4014,1896,2798,2091,3399,3327,2691,2912,24739,8435,-1,16912,12898,3992,9068,12183,1546,6710,6504,11349,7811,3175,11349,10645,7516,3203,-1,-1,9587,-1,-1,5395,13205,10422,3500,3119,3714,2347,3443,4259,2253,1889,3938,4174,4933,7840,3492,9437,-1,6929,8466,2796,16511,6471,4778
エレベーター,エレベーター,エレベーター,1390,1433,1149,2363,7639,2876,4170,4014,233,2620,1344,2907,2443,1514,1401,6208,4187,-1,9306,4853,4009,4090,4293,-1,-1,2707,-1,-1,3017,9170,8589,8349,9962,3055,3248,6977,3942,9680,2965,6025,4941,21294,5325,6472,3782,5534,6081,9528,5963,5941,6014,6955,21136,8816,4271,716,2597,5698,7135,6291,4883,4794
ロープ,ロープ,ロープ,1401,5687,7993,3701,2913,2876,4170,2391,1896,6699,4264,6998,7431,4277,8749,7209,5294,-1,11241,9831,6686,4422,3763,-1,-1,4143,-1,-1,3598,6210,5807,7889,8320,3070,3450,10053,-1,21998,4314,8138,6322,10158,6644,23494,4242,6819,7263,10323,7150,7187,7217,7512,12368,4066,4625,-1,4734,7188,6321,6802,7840,5337
ビール,ビール,ビール,1402,446,363,1288,1910,2876,1688,4014,2712,285,1042,346,1713,380,526,3963,2834,-1,3869,2254,2049,1461,1340,-1,-1,1920,-1,-1,1886,11258,10562,3908,6224,1311,1418,2300,-1,4886,2123,6606,2520,8280,1165,5348,1156,174,3224,2163,2862,2336,1555,1869,6830,3575,1540,-1,2265,1987,4810,6071,3855,3241
ちょい,ちょい,チョイ,1410,975,890,1491,1072,1259,1050,572,744,1037,985,1079,1398,930,1025,-1,4247,-1,16869,11335,3364,8874,4806,2634,4929,4014,3253,2689,6340,3253,3035,2599,6734,7887,6375,9993,-1,-1,22313,5832,2305,21969,12223,13773,9292,12305,12520,14541,12497,12515,12526,3497,-1,6255,9367,-1,16542,4860,4708,-1,5577,2881
チーズ,チーズ,チーズ,1418,761,723,662,4754,1733,2405,4014,1428,710,562,631,2677,907,683,7481,3267,-1,6493,4157,3906,2020,1554,-1,-1,9095,-1,-1,6258,4739,4431,2538,8664,2197,2422,5109,-1,6073,9798,6064,3609,7103,2713,3049,1954,3063,3997,8336,3804,3583,728,1980,10909,3851,2127,-1,7311,3109,4279,9796,3227,794
ピアノ,ピアノ,ピアノ,1428,1902,1930,4421,967,2876,4170,313,4667,8262,1229,1876,11750,2480,1599,1584,3185,-1,5902,2270,2686,3052,3155,-1,-1,3685,-1,-1,4065,4044,3778,1030,4939,4713,4444,2474,-1,910,4008,7364,2392,3751,1429,4620,752,1953,3305,5190,2985,2533,451,1916,4562,14804,3208,-1,3900,3004,3871,1410,4499,4219
ちゃう,ちゃう,チャウ,1439,56,57,57,73,58,54,71,52,58,63,45,65,64,56,21567,87,-1,551,543,2435,153,154,259,162,499,119,81,839,119,110,75,91,-1,18111,1510,-1,-1,13231,3567,166,8447,171,815,119,60,454,249,73,169,93,165,9538,-1,161,347,303,374,-1,4417,115,101
ドラマ,ドラマ,ドラマ,1447,2041,1736,2894,3549,1733,2405,4014,1896,2798,1535,2059,1941,2238,1931,478,3181,-1,3768,1087,2508,2598,2280,-1,-1,5140,-1,-1,3593,7068,6619,2702,5988,6137,4863,1642,-1,670,5850,5985,3154,14235,1983,3995,1141,2413,3568,2808,1728,957,1701,594,10659,10799,2746,-1,4193,1018,3771,197,1051,2725
かた,かた,カタ,1449,20704,17146,11364,7639,2876,4170,4014,2712,16460,13585,11052,11750,14238,21622,7525,6761,310,1617,7168,2805,4289,5464,8862,1980,1094,2514,1954,264,8935,8367,5469,5957,6624,6589,3229,645,19338,523,2121,11014,355,2585,4496,1554,2955,3913,7618,3708,3469,3762,2936,697,369,4487,3392,2584,4515,367,7243,5627,2130
こん,こん,コン,1454,16266,13258,11364,7639,2876,4170,4014,4667,8262,13585,11052,11750,10632,21622,12592,3931,3217,14193,11764,1481,5705,4536,6824,17171,7884,4983,6408,6443,2673,2486,3565,6079,5264,5354,3538,4654,16896,2458,4361,4555,819,16327,15657,11770,16365,16520,18014,16506,16529,16529,6934,3123,23248,5982,7641,5249,3456,-1,10453,4346,1597
レストラン,レストラン,レストラン,1459,1506,1212,2894,3549,2876,2405,4014,590,1124,2692,1590,2677,1300,1766,3432,3470,-1,5048,1461,2808,2492,2249,-1,-1,3581,-1,-1,2618,5592,5224,7154,8779,2134,2409,2241,12387,1586,3742,8318,4373,22047,2101,4187,1315,2518,903,1828,3374,3068,605,2885,9210,7104,2624,8898,3786,3253,6084,3378,3475,3427
ねん,ねん,ネン,1462,673,596,1027,1342,2876,1304,4014,481,935,329,3399,2095,677,690,3950,1148,115,6743,11343,117,1355,1183,1033,1219,3955,1971,2106,2477,1971,1830,2036,8260,5890,4742,9712,1013,948,118,14389,823,369,8893,8711,13301,9019,1774,1888,9281,9321,9324,2021,1236,206,1436,3119,5733,2477,250,6650,8624,1106
パス,パス,パス,1479,874,951,521,4754,2876,2405,975,4667,700,5138,1876,488,586,2188,2877,2884,-1,7621,3574,4796,2499,2012,-1,-1,7454,-1,-1,5509,2361,2193,4458,7379,3274,2957,3104,-1,3880,6511,3810,4128,8451,1790,988,2900,2251,3466,8110,3183,973,3238,2116,10926,5959,2631,-1,7111,3319,4446,4017,4541,4908
プログラム,プログラム,プログラム,1483,3322,4147,3701,1459,2876,1688,4014,2712,4862,5138,4109,1808,2238,7428,1360,4939,-1,3508,922,7139,2893,2525,-1,-1,6978,-1,-1,5912,8621,8067,4084,8002,1286,1390,993,2393,2533,6849,5301,4321,5312,1436,888,3750,692,3308,5192,2991,2540,1618,942,3885,9543,3044,558,4073,1726,6841,1814,2650,1829
ブロック,ブロック,ブロック,1496,2883,3390,4421,1231,1733,1304,759,4667,6699,2091,11052,2443,2395,3619,1950,2261,-1,7381,1992,7637,2527,2268,-1,-1,8010,-1,-1,5568,1103,1025,6937,9899,1692,2104,4066,19607,2999,8392,5169,2067,7709,2333,1408,5903,2726,1057,5286,3526,3262,910,2583,9815,6600,2656,1483,5981,1804,8376,2019,1603,1854
あわ,あわ,アワ,1497,20704,17146,11364,7639,2876,4170,2391,4667,16460,13585,11052,11750,14238,21622,17367,16922,2084,11945,7216,9579,13031,9893,14704,5795,16890,11445,9631,1868,20936,19617,21178,7978,21287,7275,10490,1520,-1,4849,4476,13358,1817,5902,8620,4038,6097,6597,9859,6466,6483,6532,5523,4913,4466,13498,-1,4694,8304,3359,22807,6186,5473
ライト,ライト,ライト,1509,5687,4679,11364,4754,2876,1050,2391,4667,6699,6377,11052,5541,5029,6427,1469,2555,-1,9461,2746,4553,2348,2348,-1,-1,4470,-1,-1,2651,3446,3216,5048,4034,1460,1546,3611,-1,784,4385,4692,3538,8284,5433,4708,4198,5640,2714,9590,2119,6042,6116,1594,13444,4405,2469,2311,3304,2078,6283,1926,1241,1940
リズム,リズム,リズム,1517,3704,2919,7212,7639,2876,4170,759,4667,4323,2939,6998,7431,2822,5712,4833,4867,-1,6562,3804,11012,5189,4482,-1,-1,6415,-1,-1,4831,6127,5730,3702,4146,9029,9150,3675,-1,3844,6540,6749,5880,5068,1986,1511,2336,732,3571,4011,1729,2979,1174,3503,5794,8949,5407,-1,5708,4614,3032,5290,3450,3173
チョコレート,チョコレート,チョコレート,1519,1607,1813,932,3549,2876,4170,4014,4667,2069,824,1590,3839,2315,1288,9286,5700,-1,10576,3751,7216,6040,4819,-1,-1,7038,-1,-1,5121,7503,7019,4040,6892,3226,3071,4907,4371,6085,7996,8674,7169,19677,5839,13293,3734,6037,6540,5837,6407,6424,6478,3356,10505,4741,6288,-1,5728,4685,5309,7783,4064,2183
タイム,タイム,タイム,1536,1302,1192,2363,1072,2876,2405,572,590,1433,1274,2907,1622,1143,1472,1098,2135,-1,3447,1228,4896,2860,1403,-1,-1,7258,-1,-1,3329,1919,1783,1459,5143,1636,1765,2611,-1,629,8220,2924,2592,6248,1921,1810,1632,2360,3533,2205,3262,2923,1168,921,14517,3183,3016,6806,3126,1553,2190,1639,2718,1411
スケジュール,スケジュール,スケジュール,1537,1367,3028,1169,450,2876,4170,1118,4667,1734,2447,5139,610,1390,1374,6291,6459,-1,10071,2082,6300,6799,5815,-1,-1,9244,-1,-1,6881,11054,10372,4838,8208,6526,6646,3387,9830,10053,9579,6416,3607,24153,3586,5375,2423,810,2397,4167,4484,4347,4538,3549,23401,7318,7101,6283,6806,5356,6077,8102,2731,3415
ベスト,ベスト,ベスト,1542,2422,3547,3701,764,2876,1304,975,4667,5635,2261,6998,1398,2009,3058,926,4360,-1,4841,1653,4638,2935,2484,-1,-1,10968,-1,-1,5713,3968,3706,3509,6636,2443,2553,2604,-1,378,10455,4823,3444,14763,2363,2100,2001,2752,3768,8248,3549,3287,3600,1107,18370,5577,3099,6081,5065,1934,4425,1047,2114,2535
ぶつ,ぶつ,ブツ,1543,20704,25005,7212,7639,2876,4170,4014,4667,16460,8594,11052,11750,14238,21622,19367,5109,-1,-1,-1,3518,3595,7691,3076,22877,3891,23083,19193,5148,10362,9713,7162,3136,16386,18529,13952,-1,-1,4438,7748,3590,324,12254,11817,9849,12336,12550,14560,12527,12546,12557,20260,995,18720,3769,-1,13129,9763,10821,7826,6854,16701
ジャンプ,ジャンプ,ジャンプ,1558,2751,2162,11364,4754,1259,2405,4014,1896,4323,1229,6998,4541,1828,5712,2643,3985,-1,12981,4292,7499,2852,2499,-1,-1,12452,-1,-1,8616,3800,3547,3324,8402,3017,2740,5027,7881,3083,13063,5855,3362,9451,8079,6534,7816,8222,2705,11329,8498,8551,8551,1408,12669,4606,3010,5384,7941,2815,5720,2117,1960,2210
デビュー,デビュー,デビュー,1579,4442,6382,11364,1342,2876,4170,4014,4667,1980,13585,11052,11750,3486,6427,345,5135,-1,7970,2637,4690,5627,3935,-1,-1,10877,-1,-1,7688,6586,6160,4080,12372,12704,10824,3630,7682,1131,10714,5702,4575,22663,3795,16298,2231,4075,4782,5509,4657,1002,4710,1636,16031,10931,5888,-1,5427,1838,7175,480,8464,3731
コピー,コピー,コピー,1591,1240,2825,573,715,1733,4170,327,2712,2435,1535,1876,825,1082,1423,2865,3680,-1,5438,2000,4160,3762,3234,-1,-1,5502,-1,-1,3901,3611,3370,4548,5904,2256,2370,2009,-1,15651,5973,5745,3605,17779,2666,3790,1764,3021,3962,3342,3768,765,3826,1422,16513,5881,3939,3290,4547,2575,5198,2937,2073,2842
ソース,ソース,ソース,1598,1629,1236,4421,7639,2876,4170,4014,4667,884,1535,5139,11750,2075,1401,3542,5813,-1,5636,2293,5791,2382,1814,-1,-1,11283,-1,-1,6655,3776,3524,3191,7945,4103,4031,2188,-1,8066,10931,6792,4319,5925,1966,1851,1625,2398,2111,8153,3290,2963,893,1581,8648,3232,2499,-1,7014,3174,4044,5395,4583,886
めでたい,めでたい,メデタイ,1600,1355,1102,2363,4754,2876,2405,848,1896,1381,1344,825,5541,1514,1250,-1,4069,-1,7288,9996,7854,6501,659,1224,685,7413,1490,967,3437,1490,1380,929,5500,-1,-1,21435,8662,-1,13526,6279,5792,3101,5273,6216,3858,5482,6041,5744,5918,5894,5968,1441,2816,2656,6763,-1,4095,18019,1610,-1,13082,10267
たり,たり,タリ,1604,122,125,132,137,87,122,144,156,115,151,149,108,129,121,291,221,-1,163,68,2178,236,279,104,291,129,376,198,77,376,347,189,164,391,410,156,-1,-1,1772,1042,265,56,84,256,62,87,194,135,68,375,76,161,39,-1,245,631,139,124,-1,244,106,81
スポーツ,スポーツ,スポーツ,1610,1168,1252,3701,876,312,2405,430,984,1264,2447,2059,868,970,1472,584,4849,-1,2081,980,6382,2639,2013,-1,-1,4287,-1,-1,2872,5689,5313,2337,4813,2969,3103,1065,5454,334,5336,5213,3559,2175,1014,2206,567,1622,3175,5163,1089,221,1073,963,1766,8793,2777,-1,2957,860,2891,568,908,1277
スパイ,スパイ,スパイ,1613,13446,25005,11364,3549,1733,4170,4014,4667,10817,13585,11052,5541,10632,14260,5559,4428,-1,13838,9550,5831,2211,1954,-1,-1,5338,-1,-1,4175,5562,5196,7531,7343,1017,1144,5900,-1,6569,5674,5464,5710,19111,11894,13740,9815,11977,12199,4661,12176,12200,12205,7480,15497,6233,2322,4527,6506,4684,6477,5419,3619,7243
アウト,アウト,アウト,1617,1967,1736,2034,4754,2876,2405,1362,2712,2173,1940,1590,2443,1514,2912,3148,2481,-1,7766,3887,5254,3605,2273,-1,-1,10712,-1,-1,5998,2446,2273,2368,9142,3009,3403,3224,-1,1796,12462,4209,3071,5029,2635,2276,2546,2995,3944,1701,1826,3516,3800,2602,10174,4056,3772,-1,5313,3534,3663,5156,3706,2061
カバー,カバー,カバー,1626,1902,1930,1574,2451,2876,1688,4014,2712,2435,1126,2059,3327,2315,1678,1935,8844,-1,6548,2318,10718,5709,4443,-1,-1,7893,-1,-1,4918,4714,4408,6038,8053,3351,3719,3164,-1,2454,7808,7050,4385,10414,2929,1928,4618,3265,1626,3364,3967,3766,4019,1291,14097,5480,5955,8699,5528,2068,5491,1799,2665,1778
プラス,プラス,プラス,1641,969,1366,633,592,1259,2405,487,4667,935,1274,2059,692,867,1096,4551,2710,-1,4655,1779,7782,5761,4734,-1,-1,8913,-1,-1,5371,5615,5246,4142,7461,6536,5739,2725,-1,2392,9288,5053,4155,16669,779,582,1377,1454,531,382,2717,2087,1044,1723,13412,5547,6049,-1,6068,2820,5104,3790,1492,1405
マイナス,マイナス,マイナス,1644,2376,2348,2179,2451,2876,2405,1705,984,2308,2939,4109,2281,1828,3401,9900,6224,-1,5755,2657,8034,4959,4120,-1,-1,8353,-1,-1,6141,5869,5481,5233,8678,7204,6655,2943,7672,22491,9331,6467,4169,8130,939,635,1878,1573,991,930,2771,2185,2801,2738,8400,5926,5183,-1,5838,3973,5301,9737,1509,1662
つう,つう,ツウ,1650,62,60,63,56,93,75,50,54,64,58,60,57,52,72,14037,2400,483,560,551,1693,3741,370,108,163,15210,80,96,3322,292,271,315,5586,757,787,13116,7100,19301,2655,3033,1812,798,334,883,210,1007,1355,304,325,171,154,795,3398,9033,3919,3724,416,12507,9313,18332,4566,1193
プラン,プラン,プラン,1673,2319,3914,2894,715,2876,4170,1362,2712,2620,6377,5139,1124,2315,2356,4756,5454,-1,6008,938,4179,4076,3559,-1,-1,9969,-1,-1,8626,8454,7913,6387,7344,3645,3687,3077,-1,6717,11435,5786,3105,14761,3478,2913,3210,3785,4527,8605,1928,4251,4453,1577,20229,7353,4282,-1,8386,4445,5579,6092,1954,2329
たん,たん,タン,1681,2944,2418,5421,3549,2876,1050,1705,481,10817,2692,6998,5541,2691,3234,11715,710,580,6491,11805,22844,976,6171,1077,6328,2922,6890,3022,2062,6890,6446,2915,1474,14320,18508,3837,2854,16347,12778,12806,1258,288,1963,1400,4334,2396,202,8152,1189,2960,3334,3041,1060,6860,1029,9562,9337,1880,10024,6226,1719,1821
ランプ,ランプ,ランプ,1693,7460,7993,5421,4754,2876,4170,2391,2712,10817,6377,6998,5541,5029,14260,5094,12900,-1,11277,6854,20314,6635,5249,-1,-1,3742,-1,-1,2638,15308,14348,9652,7383,6552,6471,7627,-1,16957,4118,13761,14894,6199,5949,3526,11123,6143,6637,9887,6510,6529,6577,4260,11262,5849,6909,9118,4738,6808,6987,5433,4231,5148
パンチ,パンチ,パンチ,1697,4442,5365,2617,4754,2876,4170,2391,2712,8262,6377,2540,3327,4621,4411,6704,1778,-1,16137,10876,3468,3829,3337,-1,-1,9481,-1,-1,6779,2187,2029,4026,7584,3639,3806,8677,-1,5465,10194,4756,3753,15373,6388,23458,4070,6571,7021,10165,6910,6938,6977,5477,11659,5510,4027,-1,8148,5169,5468,4811,3107,5407
トラック,トラック,トラック,1708,2523,2348,5421,1910,1259,4170,975,546,3517,2447,5139,4541,1828,4107,1216,6200,-1,6018,1911,6157,2059,1903,-1,-1,2746,-1,-1,2905,7824,7316,9179,7908,963,1042,224,1233,1566,3081,7628,5991,7335,3175,4506,2030,3498,4303,8498,4155,3984,4217,918,9553,10655,2158,2760,3205,2115,5994,1730,3275,4548
ベルト,ベルト,ベルト,1711,4880,5365,2894,7639,2876,4170,4014,685,16460,8594,2540,11750,5029,4755,4495,3491,-1,8013,4988,7501,3573,2667,-1,-1,4575,-1,-1,3200,8609,8055,7536,7479,2417,2446,6514,-1,9559,4652,9089,7171,7777,7986,13436,6612,8130,8491,2642,8410,8462,2218,1988,9509,3823,3735,-1,3874,4447,5372,5376,3939,4982
サッカー,サッカー,サッカー,1712,1506,1139,11364,4754,1259,904,848,1428,1147,2447,1590,3839,1143,2117,450,1308,-1,5605,1774,5017,2169,1781,-1,-1,8286,-1,-1,8046,8552,8002,2656,10506,4698,4939,910,11665,1046,10055,6623,4210,5375,1600,9239,811,2091,3368,5211,3070,354,3122,1629,4263,13698,2288,-1,5594,1379,5667,330,3880,2587
ぶん,ぶん,ブン,1725,16266,17146,7212,7639,2876,4170,4014,4667,16460,8594,6998,11750,14238,14260,5715,5026,102,457,17691,239,4012,5879,6463,278,1946,614,660,206,9548,8952,8275,3668,13876,14985,6133,395,6137,477,6605,11525,225,18722,17822,15391,18744,18871,20121,18867,18880,18879,350,829,20892,4189,506,5366,5457,16443,7447,3448,3866
とく,とく,トク,1737,170,191,135,147,207,232,147,227,196,149,141,162,177,160,12603,311,56,3618,3304,11315,339,295,488,308,1030,280,244,1074,280,259,231,681,322,365,5953,1670,9176,9779,14097,411,464,900,1397,707,1543,3141,384,297,96,1061,1250,1036,1772,364,1683,1351,1976,1731,5500,1276,573
サラダ,サラダ,サラダ,1739,792,640,3701,2451,2876,1688,4014,4667,549,907,645,3839,1198,630,16626,8177,-1,6288,5171,7878,4644,3745,-1,-1,11325,-1,-1,7365,9329,8743,6373,7304,6997,5766,5661,-1,20944,12315,9438,6506,10420,3682,9269,2192,3971,4688,8689,4569,4438,1924,2856,12804,5629,4856,8856,8032,5160,4351,14772,6128,3034
トンネル,トンネル,トンネル,1740,3599,2919,5421,7639,2876,4170,4014,2712,4862,2447,2276,7431,2822,5172,1876,5935,-1,8234,5475,9587,4315,3776,-1,-1,4990,-1,-1,4001,4490,4196,9686,13220,2717,2868,6582,8073,5555,5316,7819,5544,6192,5799,5239,4971,5997,6502,9795,2156,6384,6444,6490,6280,8496,4508,-1,5595,4971,9228,2010,2396,2813
ガス,ガス,ガス,1744,1226,1890,490,7639,2876,1304,4014,2712,2435,887,573,7431,1724,986,1277,3373,4114,2883,2332,3338,2328,1481,-1,-1,2977,-1,-1,1909,1801,1673,5445,10216,1142,1260,2324,-1,3599,3944,5775,4557,1482,2477,4493,1517,2855,3843,1992,3629,3387,3682,1822,1912,2953,2447,4679,3432,1591,4744,1684,4136,2848
ターン,ターン,ターン,1754,2199,1638,7212,4754,2876,4170,2391,382,10817,5138,916,7431,1514,4107,6069,712,-1,12340,4321,17401,8804,5437,-1,-1,15382,-1,-1,8077,5130,4785,4345,11321,8163,8370,7436,-1,13090,11195,6789,5177,15062,3349,2143,5549,3664,4430,5430,4293,4137,4347,4543,21369,8158,9200,-1,9778,4442,7100,5911,552,2242
リード,リード,リード,1766,4880,4377,5421,4754,2876,2405,1705,4667,6699,3262,11052,4541,3722,7428,2743,5702,-1,8648,4437,10693,3731,3199,-1,-1,12134,-1,-1,7888,4460,4170,6407,6062,2174,2347,4640,-1,1475,11095,6753,5053,9469,7403,6513,6591,7559,7947,6048,7858,7903,7919,4077,12589,6064,3910,-1,7362,3323,4783,3549,4312,5198
しんどい,しんどい,シンドイ,1769,2581,2209,11364,1716,2876,4170,2391,1896,1734,6377,5139,2095,2395,2743,-1,7400,-1,14313,6207,2999,11327,9811,4635,10064,19997,6181,4122,14044,6181,5779,3974,10961,-1,-1,11021,8331,-1,17533,5736,4470,21949,7822,13431,5625,7970,2694,11142,8253,1605,8308,6781,-1,8105,12050,10022,13676,9311,7655,-1,6202,4521
テーマ,テーマ,テーマ,1780,1447,3547,1885,399,1733,4170,2391,4667,1980,6377,4109,561,1355,1569,878,4801,-1,2462,783,4064,2273,2066,-1,-1,5532,-1,-1,3997,4713,4407,5190,9351,5905,5159,697,-1,3270,5445,5577,3332,9251,359,1174,209,1182,1130,702,397,1154,1445,927,7169,11582,2392,-1,3907,1344,5710,497,604,766
タクシー,タクシー,タクシー,1801,1483,1132,4421,7639,2876,2405,4014,984,935,6377,1033,5541,1828,1288,4055,3939,-1,5039,2562,3100,2225,2108,-1,-1,1789,-1,-1,2158,10950,10274,4740,7646,1728,1908,2873,13816,5170,2125,8142,4559,10695,2923,16271,1674,3259,4125,2879,3965,539,1835,4048,9175,17904,2347,-1,2552,3540,5432,3075,4179,4057
