word,hiragana,katakana,JPDB_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,KOKUGOJITEN,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
ケース,ケース,ケース,1066,2422,3547,1109,2913,2876,4170,2391,2712,2798,3262,3399,1398,3136,1986,1996,4294,-1,1838,586,4204,4439,3768,-1,-1,2634,-1,-1,1660,9248,8664,6484,5281,2117,2300,1280,-1,11720,2747,6217,5643,11464,1644,1404,1624,2129,641,2186,1668,2706,3148,901,12803,3636,4647,5691,2298,1721,3607,2359,1083,1129
ジュース,ジュース,ジュース,1069,1086,913,1491,7639,1733,2405,4014,4667,1264,1401,511,2281,1675,849,12439,3948,-1,9020,4160,5702,3191,2568,-1,-1,6457,-1,-1,4776,4874,4549,2016,3389,3969,4213,5548,1727,10967,7923,4318,3412,14222,3910,7515,2428,4184,4869,8789,4755,4641,1274,3984,12613,4315,3344,-1,5031,4528,2301,11728,7542,3064
パワー,パワー,パワー,1070,2199,2276,3237,1231,2876,2405,2391,2712,4323,1535,2059,1808,1514,4107,2357,663,-1,5091,1679,4619,1324,1169,-1,-1,9199,-1,-1,5913,470,434,2699,5838,981,1211,2417,-1,1981,9207,2033,1347,16316,1612,1035,3199,2102,887,8070,882,2683,3131,1105,24473,2932,1389,4200,4415,1986,3737,2555,2494,1881
コントロール,コントロール,コントロール,1074,3492,3264,7212,2149,2876,4170,2391,744,4862,5138,4109,3327,2575,5712,4171,2679,-1,4978,1961,6848,4166,3533,-1,-1,6646,-1,-1,4738,2255,2092,6853,5789,2096,2322,2276,2336,4290,6758,3284,3464,18212,2465,1556,4426,2844,1589,8278,3621,3377,3674,2700,20745,4025,4357,1026,4056,2814,4121,4820,2240,1711
つ,つ,ツ,1075,163,170,161,148,127,324,208,288,145,189,173,140,154,173,61,461,1378,176,96,745,388,133,63,140,427,125,170,9425,125,116,161,584,70,80,635,-1,8690,1176,955,463,43,62,47,93,91,70,72,136,570,125,185,94,64,413,333,110,162,97,203,144,79
スイッチ,スイッチ,スイッチ,1081,2090,1930,2363,2451,1733,2405,4014,2712,2989,1819,2276,1466,1951,2267,5590,2203,-1,8173,3368,5336,4186,4212,-1,-1,3425,-1,-1,2448,4472,4179,3915,3273,3183,3284,4997,1132,11393,3530,4450,3211,11008,5808,4541,5575,6006,6510,9801,6379,6393,6452,3101,12231,5920,4400,-1,3590,3819,2422,5848,1000,1926
ぐるぐる,ぐるぐる,グルグル,1087,2125,1736,3237,7639,1259,4170,4014,2712,2308,1940,1033,7431,2575,1820,-1,11907,-1,12077,9279,11368,15571,14314,1737,10525,5586,8817,5616,3640,10386,9736,16826,4241,18788,19075,11090,1313,-1,4861,12685,9687,13517,3424,5374,2265,3733,4484,2522,4353,4200,4410,7052,13552,3832,16088,-1,5141,12901,2700,20296,8450,6081
コート,コート,コート,1090,2883,2647,2894,4754,1733,4170,4014,1428,4323,2261,3399,2281,3722,2356,3822,4653,-1,6209,3629,5801,3413,2583,-1,-1,2601,-1,-1,1799,3188,2974,4517,5276,2219,2394,4570,-1,2364,2945,6954,4337,3722,3722,7114,2307,4009,4721,8708,1279,4470,4646,2272,5523,3845,3576,8896,2507,3605,3344,3935,7159,5154
しょ,しょ,ショ,1096,13446,17146,5421,7639,2876,2405,4014,4667,16460,13585,5139,11750,10632,14260,4152,2615,46,630,1896,3263,3007,7711,490,707,7808,1240,1294,555,7216,6757,8533,2249,76,88,2419,5115,10831,2146,2860,3433,934,834,787,852,1492,694,478,2734,1236,1053,302,1988,1060,3163,1105,13647,3661,1186,9817,5972,7736
スペース,スペース,スペース,1108,1663,1930,1109,1716,2876,4170,1362,1428,1677,1535,4109,1398,1355,2188,2136,5452,-1,5685,1257,9664,4284,3532,-1,-1,6290,-1,-1,4240,10515,9861,6516,6785,4520,4465,2575,6436,1986,6324,7222,5919,14732,2778,2944,2125,3124,4034,2868,3860,3639,3906,2032,14608,2970,4488,-1,3767,2626,4646,2637,2011,2094
スタート,スタート,スタート,1120,1567,1783,1077,1716,2876,2405,2391,2712,2069,1082,1486,1808,1514,1635,1353,1646,-1,3616,960,3809,1838,1558,-1,-1,6295,-1,-1,4640,2787,2595,1587,6449,3550,3147,1681,1628,5907,6893,2702,1741,12517,2122,3498,1410,2536,3643,1122,906,3087,1722,1192,12778,4468,1945,2696,4442,1407,4078,1635,1211,742
さようなら,さようなら,サヨウナラ,1128,3410,3264,2894,4754,2876,2405,2391,2712,4862,3262,2540,3327,4277,2912,-1,2013,-1,13189,10266,2639,3024,2763,-1,1936,7331,3196,3535,3763,3502,3267,3410,5613,1917,2021,14457,3481,10080,6925,2954,3235,22622,9084,13525,8249,9208,9529,2331,9464,9504,9504,3544,-1,-1,3179,10063,11182,9756,-1,20887,2744,3519
すっきり,すっきり,スッキリ,1130,2581,2048,4421,4754,2876,4170,1362,4667,1808,1940,6998,5541,2315,2912,-1,5142,-1,8020,2738,4085,7941,6911,2347,6715,8480,7614,5330,5520,7614,7125,5138,5511,10392,11211,5597,1053,-1,7488,5414,5507,12325,4700,5975,3537,4940,5544,4273,5418,5364,954,2127,10526,4098,8283,-1,6541,8172,2599,-1,8278,6178
エリア,エリア,エリア,1150,2809,2722,2894,2451,2876,4170,1705,1168,6699,2261,2059,2976,3293,2450,1685,3894,-1,8578,1215,5344,4497,3840,-1,-1,13653,-1,-1,10227,5485,5123,6338,8756,3974,4033,3304,-1,5346,11362,4799,3423,20168,4126,4016,3218,4391,5051,8883,4942,4831,4989,2016,20296,2253,4697,548,5657,2242,8379,1413,3225,1807
プール,プール,プール,1153,1844,1544,2179,7639,2876,4170,4014,858,3517,1042,1486,4541,2691,1472,3980,3597,-1,7577,2823,4330,2741,2421,-1,-1,4892,-1,-1,4652,6093,5697,1161,2663,2480,2489,4201,-1,3588,5278,5142,2416,11493,2865,6177,1664,3204,2290,5365,3923,3710,3972,3484,12181,7648,2880,-1,4243,2871,2037,3762,6749,2348
スタッフ,スタッフ,スタッフ,1160,1726,3142,899,1014,2876,1688,4014,2712,2798,6377,3399,684,1828,1678,1468,3694,-1,4456,441,1749,1319,2129,-1,-1,5637,-1,-1,4848,10352,9703,2826,5369,3278,2947,1234,6663,532,5737,5092,1810,18697,2466,3392,1638,2845,3836,5308,618,3378,3675,817,21302,6056,1390,8620,2081,1156,3931,860,679,636
どころ,どころ,ドコロ,1165,3599,3028,5421,4754,2876,2405,4014,1896,3517,4264,3399,3839,3136,4411,9739,3596,-1,2946,3162,4559,5408,2087,615,2147,3239,1264,1996,821,1264,1176,1928,3242,3167,3192,3806,-1,-1,3975,3015,3627,1368,4758,7139,3290,4996,5597,5673,5469,5414,1297,3345,2316,-1,5675,3111,1020,4675,-1,19368,4143,2852
アップ,アップ,アップ,1168,1154,1366,983,764,1259,698,2391,2712,954,2692,1731,885,1300,1061,1313,1715,-1,1980,402,4195,3417,1628,-1,-1,8409,-1,-1,3850,1647,1529,2200,6960,1924,2119,984,-1,1787,8115,2594,2841,7437,1560,1481,1394,2059,884,1449,3051,2646,873,377,19505,1357,3587,3414,2667,1016,2390,2546,1648,768
くう,くう,クウ,1174,2467,4377,899,7639,2876,4170,4014,4667,16460,762,11052,11750,1477,8749,14368,914,-1,2437,20727,511,1068,5364,5851,5496,3349,3007,2343,3779,3007,2804,3603,374,-1,-1,23239,2652,-1,731,2631,728,649,2209,4627,1353,747,3687,1373,1768,3155,3489,10649,1630,661,1126,2241,6891,15201,15619,9581,5028,12642
レース,レース,レース,1179,5383,4147,11364,7639,2876,4170,4014,984,10817,6377,5139,4541,4277,7428,601,5636,-1,4233,2239,7716,1774,1517,-1,-1,3868,-1,-1,3217,7506,7022,5476,8462,2380,1943,2799,-1,4763,3994,7413,4477,3815,4044,23232,2314,4312,4982,8848,4866,4761,4917,1235,6076,5185,1862,1251,4017,1593,6447,952,3065,3633
バス,バス,バス,1194,405,381,403,621,2876,1688,227,278,481,533,271,498,342,472,268,2348,-1,2221,921,2366,1168,1004,-1,-1,1489,-1,-1,1516,4167,3894,1721,4754,1212,1294,1128,-1,379,2024,4182,1634,3150,959,4742,497,1584,1908,1002,840,2201,2811,799,3169,4203,1240,-1,1584,813,2870,177,2620,2228
ワイン,ワイン,ワイン,1197,658,536,1743,7639,2876,4170,4014,4667,461,1126,403,11750,885,543,2906,3333,-1,4555,1890,2921,1594,1337,-1,-1,3913,-1,-1,3659,7781,7277,9107,6774,1469,1672,2291,-1,4198,4558,8405,4266,11035,1593,5185,824,2085,1024,8065,3065,2669,876,1409,6639,2738,1674,-1,3444,2384,5625,4731,4746,4773
すう,すう,スウ,1202,2944,2722,4421,2913,1259,4170,759,1168,2989,2447,6998,11750,2575,3401,16168,2522,-1,23003,3205,140,4183,13540,1359,5075,8154,11792,7772,3154,19805,18561,8900,1678,-1,-1,20879,94,-1,1513,11833,2432,852,1707,7480,19339,2184,3417,2436,3133,2754,3193,11285,1680,6069,4392,3431,19376,23247,1969,14170,8800,19688
