word,hiragana,katakana,BCCWJ_SUW_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
豊田,とよた,トヨタ,4,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,1,1,3,3,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,2,3,3,2,2,2,2,2,2,3,1,1,1,2,3,1,4,2,4
休暇,きゅうか,キュウカ,4,3,2,3,4,4,4,3,3,2,2,3,4,3,3,3,3,3,3,4,3,4,4,4,3,3,2,3,3,3,2,2,4,4,3,2,1,3,3,2,1,3,2,3,3,3,2,3,3,3,3,3,4,1,3,3,3,3,2,3
苦笑,くしょう,クショウ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,1,1,1,1,4,1,1,4,1,1,1,4,1,1,4,3,1,4,1,1,3,1,1,2,1,1,1,1,1,1,4,4,2,3,4,2,4,1,2,1
古典,こてん,コテン,4,4,4,4,3,4,3,3,3,3,4,2,4,4,4,4,2,4,3,3,1,2,3,3,3,2,4,3,2,2,4,1,3,3,3,1,2,2,2,2,3,4,4,3,3,3,4,3,4,3,3,2,2,1,3,3,3,4,2,3
三角,さんかく,サンカク,4,4,4,5,5,4,4,3,4,4,5,4,5,5,4,4,2,4,2,2,2,3,3,3,3,2,4,4,2,2,4,2,3,3,3,3,1,2,2,3,2,4,4,3,4,4,3,4,4,4,3,3,2,1,3,3,3,3,3,4
アベ,アベ,アベ,4,4,4,3,4,4,3,3,3,2,5,4,4,4,4,1,1,1,1,1,1,1,2,1,1,2,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,3,4,3,5,3,2,1,1,1,1,2,1,1,1,1
沈む,しずむ,シズム,4,4,4,4,3,4,4,3,4,3,4,4,2,3,4,2,4,1,4,3,3,4,4,4,4,4,4,4,4,4,4,4,1,1,2,5,1,4,4,4,2,3,2,4,3,3,4,3,3,3,3,4,4,4,4,2,4,3,4,3
搭載,とうさい,トウサイ,4,2,2,3,3,4,3,4,3,2,2,2,3,2,2,5,3,1,2,4,2,3,3,3,2,2,2,2,2,2,2,2,3,3,4,2,1,2,3,2,1,2,3,2,2,2,2,2,2,2,4,3,3,4,3,4,2,5,3,4
母子,ぼし,ボシ,4,2,2,2,3,4,3,3,3,3,2,2,3,3,2,2,1,3,2,3,2,2,2,2,2,1,2,3,1,1,2,1,1,1,3,2,1,2,2,2,2,3,3,3,3,3,2,3,3,3,3,2,2,1,2,2,2,2,2,2
破る,やぶる,ヤブル,4,3,2,2,4,4,3,3,3,2,3,2,4,2,3,3,4,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,4,1,4,4,4,3,3,2,3,3,3,3,3,4,3,3,4,4,4,4,2,4,4,4,3
あら,あら,アラ,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,5,5,4,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,1,4,5,5,5,4,4,3,4,3,4,5,5,5,3,3,5,4,4,4,2,3,3,4
挿入,そうにゅう,ソウニュウ,4,2,2,3,3,4,4,3,3,2,2,2,3,2,2,4,1,2,3,3,2,2,2,2,2,1,1,3,1,1,1,4,2,2,3,5,1,2,1,2,1,4,4,2,4,4,3,4,4,4,4,2,2,1,3,4,4,4,3,3
いいえ,いいえ,イイエ,4,4,4,4,3,4,3,4,3,4,4,4,3,3,4,3,5,5,4,3,5,5,5,5,4,4,4,5,4,4,4,4,5,5,2,3,2,4,4,5,1,3,3,2,3,4,2,4,4,4,2,4,5,5,4,3,4,3,3,3
配当,はいとう,ハイトウ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,3,1,1,2,2,2,1,1,2,1,1,1,1,1,1,3,1,1,2,1,1,1,3,3,2,2,2,3,2,2,2,3,1,1,1,1,2,1,2,3,3
完璧,かんぺき,カンペキ,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,4,3,4,4,4,5,5,5,3,4,4,4,4,4,4,4,5,5,4,4,2,3,4,4,2,3,3,4,3,3,3,3,3,3,4,4,5,4,4,4,4,3,4,4
出力,しゅつりょく,シュツリョク,4,3,3,2,4,4,3,3,3,2,3,2,4,3,2,4,3,1,3,4,2,3,3,3,2,3,2,2,3,3,2,3,3,3,3,2,2,2,3,3,1,5,5,2,4,5,3,4,4,4,4,3,3,4,3,4,3,4,4,4
作曲,さっきょく,サッキョク,4,3,3,2,3,4,3,3,3,3,3,3,2,3,2,5,2,2,3,3,2,3,3,3,3,2,3,3,2,2,3,2,3,3,4,1,5,2,2,2,1,3,3,4,3,3,3,3,5,3,3,2,2,1,2,3,2,5,2,2
ＯＳ,オーエス,オーエス,4,2,2,2,3,4,3,3,3,2,3,2,2,3,2,1,1,1,4,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,3,2,4,3,3,3,3,3,4,2,1,1,1,2,1,1,1,1,1
教員,きょういん,キョウイン,4,4,4,4,5,4,4,4,4,4,3,3,5,5,4,4,2,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,1,4,4,3,3,3,4,3,3,5,3,2,2,1,3,3,2,4,4,3
評判,ひょうばん,ヒョウバン,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,3,4,5,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,4,3,3,2,4,3,3,1,3,3,4,3,3,3,3,3,3,4,4,4,4,4,3,4,3,4,3
間違える,まちがえる,マチガエル,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,1,4,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,1,1,2,4,1,4,4,4,3,4,4,4,4,5,5,5,5,4,4,4,4,4,4,2,4,3,4,4
危ない,あぶない,アブナイ,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,1,5,1,4,3,5,5,5,5,4,5,5,4,5,5,5,4,1,1,3,4,1,4,5,5,4,4,3,4,5,4,4,4,4,4,4,4,5,4,4,4,5,2,4,5
試みる,こころみる,ココロミル,4,2,2,2,3,4,4,3,3,2,2,2,3,2,2,3,2,1,4,3,2,3,3,3,3,3,2,4,3,3,2,3,1,1,2,3,1,4,3,3,2,4,4,3,4,4,4,4,4,4,3,4,3,4,3,2,3,3,2,3
谷,たに,タニ,4,3,3,2,3,4,3,3,3,3,2,3,2,2,3,4,4,5,4,3,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,2,3,4,3,5,2,4,4,3,3,3,3,3,4,3,3,3,4,4,4,4,2,4,4,3
調べ,しらべ,シラベ,4,2,1,2,3,4,3,4,3,2,2,2,2,2,2,3,4,1,3,3,1,3,3,3,3,3,3,1,3,3,3,3,5,5,4,3,1,1,4,3,2,2,3,2,2,2,2,2,2,2,3,3,3,1,3,5,3,3,3,3
悲しみ,かなしみ,カナシミ,4,2,2,2,3,4,3,3,3,2,2,2,3,2,2,3,4,1,4,3,1,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,1,1,4,4,2,4,4,4,4,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3
インストール,インストール,インストール,4,2,2,2,3,4,3,3,3,2,2,3,3,2,2,3,2,1,2,4,1,1,2,1,1,1,1,1,1,1,1,1,2,2,4,3,1,1,1,1,3,2,2,3,2,2,2,2,2,2,4,2,1,4,2,3,1,3,3,3
業界,ぎょうかい,ギョウカイ,4,3,3,3,4,4,3,3,3,4,4,2,4,3,3,3,3,1,3,4,4,4,4,3,3,2,2,3,2,2,2,2,3,3,4,2,1,3,2,3,1,4,3,4,4,3,3,5,5,3,4,2,4,3,3,4,2,4,4,4
一貫,いっかん,イッカン,4,2,2,3,3,4,3,3,3,2,3,2,3,2,3,4,2,4,1,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,1,2,1,1,1,4,4,3,4,4,3,4,4,4,3,2,2,1,3,3,2,4,3,3
詐欺,さぎ,サギ,4,4,4,4,3,4,3,3,3,2,4,4,3,4,3,3,3,3,3,4,4,3,4,4,3,3,3,3,3,3,4,2,4,4,3,2,2,3,2,3,2,2,2,2,5,2,2,2,2,2,4,3,3,1,3,4,3,3,4,3
預ける,あずける,アズケル,4,3,4,3,3,4,3,3,4,4,3,3,3,3,4,1,4,1,4,4,4,4,4,4,4,4,3,4,4,4,3,4,1,1,2,4,1,4,4,4,3,3,3,4,3,3,3,3,3,3,3,4,4,3,4,2,4,3,3,3
植える,うえる,ウエル,4,4,4,3,3,4,5,3,3,3,4,2,3,3,4,1,3,1,4,3,4,3,3,3,3,2,3,3,2,2,3,3,1,1,2,3,1,4,2,3,3,4,3,4,5,3,4,5,3,3,3,3,3,1,3,1,3,3,4,3
体調,たいちょう,タイチョウ,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,3,1,4,4,4,4,4,4,3,3,4,3,3,3,4,4,3,3,4,4,1,3,3,4,1,4,2,4,4,5,3,3,3,3,4,4,3,3,3,4,4,3,3,4
縦,たて,タテ,4,4,4,4,4,5,4,3,4,4,4,4,3,4,4,3,3,4,4,3,2,2,2,2,4,2,3,4,2,3,3,3,2,2,3,4,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,2,1,4,3,4,3,4,4
銘柄,めいがら,メイガラ,4,3,3,3,3,4,3,3,3,4,2,3,2,3,3,2,2,1,3,3,2,2,2,2,2,1,1,2,1,1,1,2,2,2,4,2,1,1,1,1,1,2,2,2,5,2,2,2,2,2,4,2,2,1,2,3,2,2,2,4
送信,そうしん,ソウシン,4,2,3,2,3,4,3,3,3,2,2,4,2,2,3,4,3,1,2,4,3,3,3,3,2,2,3,2,2,2,3,3,4,4,4,3,1,2,3,3,1,3,4,2,3,3,2,3,3,3,4,2,3,5,4,4,3,4,3,3
デビュー,デビュー,デビュー,4,3,3,2,4,4,3,3,3,4,2,2,2,4,3,5,3,1,3,4,3,3,4,1,2,1,1,3,3,3,3,2,2,2,4,3,4,2,3,3,4,4,2,4,3,3,3,3,4,3,4,2,3,1,3,4,3,5,3,4
輪,わ,ワ,4,4,4,4,4,4,3,4,3,3,4,4,3,4,4,4,4,4,4,3,3,4,3,3,4,4,3,4,4,4,3,4,3,3,3,3,3,4,4,4,5,3,3,3,3,3,2,3,3,3,3,4,4,5,4,4,4,4,3,4
引き受ける,ひきうける,ヒキウケル,4,3,3,2,4,4,3,3,3,3,2,3,3,2,3,2,4,1,4,3,4,3,4,4,3,3,4,4,3,4,4,3,1,1,2,3,1,3,4,4,2,3,3,3,3,4,3,3,3,3,3,4,3,4,4,2,4,3,3,3
剥く,むく,ムク,4,4,4,3,3,4,3,4,3,3,4,4,3,3,4,1,3,1,4,2,3,3,3,3,3,3,3,4,2,2,2,3,1,1,1,5,1,4,3,2,4,3,2,4,3,3,3,3,3,3,3,4,3,1,3,2,4,2,2,3
政党,せいとう,セイトウ,4,2,1,3,3,4,3,3,3,2,3,2,2,2,2,4,1,3,3,3,1,2,2,2,2,1,1,2,1,1,1,1,2,2,4,1,3,2,1,1,1,3,3,2,3,3,2,3,3,3,3,1,2,1,2,3,1,4,3,4
