word,hiragana,katakana,BCCWJ_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,JPDB,KOKUGOJITEN,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
全般,ぜんぱん,ゼンパン,3,3,3,1,3,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,4,2,1,1,2,2,1,2,3,4,3,3,3,4,3,3,3,3,3,3,1,1,2,3,3,3,3,3
心身,しんしん,シンシン,3,2,2,2,3,4,2,2,2,1,2,2,2,2,3,2,2,2,3,2,2,3,3,1,2,2,2,3,3,2,2,3,2,2,2,2,2,2,3,4,2,2,1,3,2,3,2,3,3
税務,ぜいむ,ゼイム,3,2,2,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,1,2,2,3,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,2,2,1
定義する,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
一貫する,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
先頭,せんとう,セントウ,3,3,4,3,4,3,2,3,3,1,3,4,3,3,4,3,3,3,3,3,3,3,2,1,4,3,3,1,3,4,4,3,4,4,4,3,3,3,3,3,4,3,1,4,3,3,3,3,3
震災,しんさい,シンサイ,3,4,4,2,3,3,2,1,2,1,2,2,2,1,2,2,2,1,1,1,1,3,1,1,1,1,1,1,1,4,3,4,5,3,4,3,3,3,4,2,1,1,1,3,3,2,3,3,3
取り消す,とりけす,トリケス,3,2,1,2,1,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,2,2,1,2,3,3,1,2,2,2,2,2,2,4,2,2,2,3,2,2,3,1,2,1,2,2,2,2
歩む,あゆむ,アユム,3,2,2,3,1,4,4,3,3,4,3,3,3,3,3,3,3,3,4,1,1,2,3,1,4,3,3,2,2,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,2,4,2,3,4
三歳,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
コンクリート,コンクリート,コンクリート,3,3,4,2,1,3,2,2,3,1,1,3,1,1,4,2,2,2,3,3,3,3,2,2,3,2,2,4,3,3,2,3,3,3,3,4,3,3,3,3,2,2,3,3,3,3,3,3,3
豆,まめ,マメ,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,2,4,3,4,3,4,4,2,4,3,3,3,3,3,3,4,4,3,4,3,3,4,3,3,3,4
こともない,こともない,コトモナイ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
投与,とうよ,トウヨ,3,1,3,2,1,3,3,3,3,1,3,1,2,1,2,2,2,1,2,3,3,3,3,1,1,2,2,1,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,2,3,2,3
目安,めやす,メヤス,3,3,2,1,2,4,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,3,3,1,1,1,2,1,2,3,3,3,3,4,3,3,3,3,4,2,2,1,1,2,2,2,2,3,4
公務員,こうむいん,コウムイン,3,1,1,3,1,3,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,4,2,2,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,3,1,3,2,3
納税,のうぜい,ノウゼイ,3,2,3,1,2,3,1,1,2,1,2,1,2,1,1,2,2,1,1,2,2,3,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,3,1,2,3,3
身長,しんちょう,シンチョウ,3,4,4,3,3,4,3,3,4,1,3,3,3,4,3,3,3,4,3,3,3,3,4,4,3,3,4,1,2,4,3,4,3,3,3,3,3,3,3,3,4,3,1,4,4,3,5,3,3
直線,ちょくせん,チョクセン,3,2,4,2,3,3,2,2,3,1,3,3,3,2,4,3,3,2,2,2,2,3,2,2,2,2,2,1,4,4,4,3,4,4,3,4,4,4,3,4,4,2,1,3,3,4,3,2,3
範囲内,はんいない,ハンイナイ,3,1,1,2,3,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,3,1
洋服,ようふく,ヨウフク,3,4,2,3,4,4,4,3,3,1,3,3,2,2,4,2,2,3,3,3,3,3,4,1,3,3,3,1,3,4,2,4,4,4,4,5,4,4,4,3,2,3,1,3,3,3,2,3,3
据える,すえる,スエル,3,2,1,2,1,3,2,2,2,4,2,3,2,2,4,2,2,2,3,1,1,1,2,1,4,2,2,3,3,3,4,3,3,3,3,3,3,3,2,3,3,2,1,3,1,3,3,2,2
放送する,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ほう,ほう,ホウ,3,5,4,5,5,4,5,5,5,3,4,5,4,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,2,2,3,3,2,3,5,4,3,5,2,5,3,5,5,5,4,5,5
好,こう,コウ,3,2,4,3,5,3,1,4,4,4,3,3,4,4,4,4,4,4,3,4,4,3,5,4,2,3,3,5,4,3,3,3,3,3,2,3,3,3,4,4,4,5,4,4,4,4,4,3,3
スクール,スクール,スクール,3,4,4,2,1,4,2,3,3,1,1,2,1,1,3,1,2,4,2,3,3,4,2,5,2,2,4,3,2,4,3,4,3,3,4,5,4,5,4,2,2,3,3,3,3,3,4,3,3
通り過ぎる,とおりすぎる,トオリスギル,3,3,1,2,1,3,2,2,3,4,3,3,2,2,4,2,2,2,3,1,1,2,3,1,4,2,3,2,2,3,2,3,3,3,3,3,3,3,2,2,4,2,1,4,1,4,1,3,2
政治的,せいじてき,セイジテキ,3,1,1,1,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4
遺産,いさん,イサン,3,2,4,3,3,4,4,3,3,1,3,3,3,2,3,3,3,2,2,3,3,3,2,3,3,2,3,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,5,3,4,3,4,3,3
さっさと,さっさと,サッサト,3,3,1,4,1,3,4,4,4,4,4,4,5,4,4,5,5,4,4,4,4,3,5,1,4,5,1,1,1,3,2,3,3,2,3,2,2,2,3,1,4,4,4,4,4,5,1,2,3
出血,しゅっけつ,シュッケツ,3,2,3,3,3,3,4,4,4,1,4,3,3,2,3,3,3,2,3,4,4,2,3,1,3,3,3,1,3,3,2,4,3,3,2,3,3,3,3,3,3,4,1,3,3,3,2,1,2
数人,すうにん,スウニン,3,1,1,1,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
追求する,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
出演する,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
療養,りょうよう,リョウヨウ,3,1,3,2,2,3,2,2,3,1,3,2,2,2,3,2,2,2,2,2,2,3,2,1,2,2,2,1,2,2,2,3,2,2,3,2,2,2,3,2,2,2,1,2,2,2,3,3,4
十四年,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
商,しょう,ショウ,3,2,4,2,4,2,3,3,3,2,3,3,3,4,3,3,3,4,2,2,3,3,2,2,3,2,2,4,4,3,3,3,3,3,2,3,5,4,3,4,4,3,4,3,3,2,4,2,2
ダイエット,ダイエット,ダイエット,3,3,2,3,1,5,3,3,3,1,1,2,1,1,2,2,2,4,3,3,3,4,3,2,2,3,3,4,1,4,2,4,4,4,3,4,5,4,5,2,2,3,3,3,4,3,2,3,4
留守,るす,ルス,3,3,3,3,4,3,4,4,4,1,4,4,4,4,4,4,4,4,3,4,4,2,3,1,4,3,3,2,2,3,3,4,3,4,3,4,3,3,3,3,4,4,1,4,2,4,2,1,2
品物,しなもの,シナモノ,3,3,2,2,4,3,2,2,3,1,3,3,2,2,4,2,2,2,2,2,2,3,3,1,3,2,2,1,4,3,2,4,3,3,3,3,3,3,3,4,3,2,1,3,2,2,1,2,2
二個,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
祝い,いわい,イワイ,3,4,2,3,1,3,1,3,4,1,4,3,4,4,4,4,4,4,2,4,4,2,2,2,1,3,3,2,4,3,2,3,3,4,2,3,3,3,4,4,4,3,3,3,3,4,2,2,2
エピソード,エピソード,エピソード,3,3,4,2,1,4,2,3,3,1,1,3,1,1,3,2,2,3,2,2,2,3,2,5,3,2,3,4,1,4,3,4,4,4,3,3,3,3,3,1,3,2,3,3,3,2,4,4,3
関与する,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
持ち物,もちもの,モチモノ,3,3,1,2,1,3,2,2,3,1,3,2,2,2,3,2,2,2,2,3,3,2,2,1,2,2,2,1,2,3,2,3,3,3,2,3,3,3,2,2,3,2,1,2,2,3,1,3,2
根本的,こんぽんてき,コンポンテキ,3,1,1,2,4,4,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,3,2,3,1,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,3,3
出入り,でいり,デイリ,3,3,3,3,1,3,4,3,3,1,3,4,3,3,4,3,3,3,3,4,3,3,3,1,4,3,3,1,4,3,3,3,3,3,5,3,3,3,3,4,4,3,3,4,3,4,3,2,3
決勝,けっしょう,ケッショウ,3,3,5,4,1,3,2,4,4,1,4,2,4,4,2,4,4,4,2,3,3,4,1,4,2,3,4,1,2,3,3,4,3,3,3,3,3,3,4,2,3,4,1,2,4,2,5,3,3
シャンハイ,シャンハイ,シャンハイ,3,3,4,3,3,3,3,3,1,1,1,3,1,1,2,1,1,1,1,3,3,4,2,4,3,1,2,1,3,3,2,3,3,3,4,3,3,5,3,3,1,3,1,3,3,1,4,2,1
視聴,しちょう,シチョウ,3,3,4,2,2,4,1,2,4,1,4,2,3,3,2,3,3,3,1,3,3,4,4,1,1,2,1,1,3,3,3,3,3,3,3,3,4,5,4,2,2,2,1,2,4,2,4,4,5
ブラジル,ブラジル,ブラジル,3,3,4,2,1,3,2,4,1,1,1,3,1,1,2,1,1,2,1,3,3,4,1,5,3,2,2,3,3,3,3,4,3,3,3,3,3,3,3,3,1,3,3,2,3,1,4,3,3
長年,ながねん,ナガネン,3,3,4,3,3,4,3,4,4,1,4,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,1,3,3,3,4,3,3,3,3,4,3,3,3,4,4,4,3,3,3,3,3,3
班,はん,ハン,3,5,3,4,2,3,4,4,4,1,4,4,5,4,3,5,5,4,4,4,4,3,2,2,3,4,4,1,3,3,3,3,3,3,2,3,3,3,3,3,4,4,4,4,3,4,4,3,3
隙,すき,スキ,3,2,3,4,4,3,4,4,3,1,3,4,4,4,4,4,4,4,4,3,3,2,4,1,4,4,4,4,3,2,1,2,2,2,2,2,2,2,3,3,4,4,3,4,3,4,3,2,2
