word,hiragana,katakana,BCCWJ_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,JPDB,KOKUGOJITEN,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
豪族,ごうぞく,ゴウゾク,2,2,2,3,3,4,3,3,3,3,2,2,3,2,2,3,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,3,2,2,2,2,2,1,2,2,2,1,3,2,1,1,2,1,2,2,2,1
出頭,しゅっとう,シュットウ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,3,2,3,1,3,2,2,1,3,2,2,2,1,3,3,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1
突進,とっしん,トッシン,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,2,2,1,2,3,2,1,4,2,2,1,3,2,2,2,1,1,3,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,4,2,3,3,2,3,2,1,1
転載,てんさい,テンサイ,2,2,1,2,3,4,3,4,3,2,2,2,2,2,2,1,1,2,3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,1,1
判別,はんべつ,ハンベツ,2,2,2,2,3,4,3,3,3,2,3,2,2,2,2,2,1,2,3,1,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,1,1,4,4,2,4,4,3,4,4,4,3,2,3,2,3,2,2,3,2,2,2
カズマ,かずま,カズマ,2,3,3,2,3,4,3,3,4,3,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
ユカリ,ユカリ,ユカリ,2,3,3,4,3,4,3,3,3,3,3,4,2,3,3,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2
ＰＫＯ,ピーケーオー,ピーケーオー,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
勝ち取る,かちとる,カチトル,2,2,2,3,3,4,3,3,3,3,2,2,2,2,2,1,3,1,2,2,3,3,3,3,1,3,2,2,3,3,2,2,1,1,1,2,1,1,3,3,1,1,1,1,2,1,1,1,1,1,1,2,1,3,3,2,2,1,3,2,2,2
長方形,ちょうほうけい,チョウホウケイ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,2,1,2
特殊性,とくしゅせい,トクシュセイ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
ビタミンＣ,ビタミンシー,ビタミンシー,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
掻き分ける,かきわける,カキワケル,2,2,2,2,3,4,3,3,3,2,2,3,2,2,2,1,1,1,1,1,1,1,4,1,2,1,2,3,1,1,1,2,1,1,1,3,1,2,1,1,3,1,2,1,3,2,2,3,2,2,2,1,1,3,1,1,2,1,4,1,1,1
無造作,むぞうさ,ムゾウサ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,2,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
生活保護,せいかつほご,セイカツホゴ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ちょこっと,ちょこっと,チョコット,2,4,4,4,3,4,4,3,4,4,4,4,4,4,4,1,2,1,2,2,1,2,3,2,1,2,2,1,2,2,2,2,1,2,2,3,1,1,2,2,4,1,3,3,3,3,3,3,3,3,3,3,1,2,1,1,1,2,2,1,3,3
大差,たいさ,タイサ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,2,2,2,2,1,2,2,2,3,2,2,2,3,3,2,2,2,3,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,3,2,1,2,2,3,2,2,2
埋め尽くす,うめつくす,ウメツクス,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
慰め,なぐさめ,ナグサメ,2,2,2,2,3,4,3,3,3,2,2,2,2,2,2,1,2,1,2,1,3,3,1,3,3,2,2,1,2,2,2,3,3,3,2,3,1,1,2,2,2,2,2,1,3,2,2,2,2,2,2,1,2,3,3,1,3,2,3,1,2,2
征服する,-,-,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
パセリ,パセリ,パセリ,2,3,3,2,3,4,3,3,4,3,3,3,2,3,3,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,3,2,3,3,3,2,3,3,3,2,1,1,2,1,1,1,1,1,1,2
鼻水,はなみず,ハナミズ,2,3,3,3,3,4,3,3,4,2,3,2,3,2,3,1,2,1,3,2,2,2,1,2,2,2,3,2,2,2,3,2,2,2,2,3,1,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2
猪,いのしし,イノシシ,2,3,4,2,3,4,3,3,3,2,2,4,4,3,3,2,2,3,2,2,2,2,1,2,3,3,3,3,3,3,1,2,2,2,2,1,1,3,2,2,2,3,2,2,3,2,2,4,2,2,2,2,3,4,2,1,3,2,3,2,2,3
多用,たよう,タヨウ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,2,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,2,2,3,2,3,3,2,3,3,4,3,3,3,2,3,2,1,1,2,2,2,3,2,2
径,けい,ケイ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,1,4,3,1,1,2,1,1,2,1,1,3,2,2,1,2,1,4,2,2,3,3,4,2,1,2,2,2,2,2,2,2,2,4,1,4,1,1,2,2,3,4,2
抗癌,こうがん,コウガン,2,3,2,4,3,4,3,3,3,3,4,2,3,3,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
ズシ,ズシ,ズシ,2,3,2,4,3,4,3,3,3,3,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
希少,きしょう,キショウ,2,2,3,2,3,4,3,3,4,2,2,3,2,2,3,2,3,1,3,1,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,3,2,2,2,2,2,2,2,2,2,3,2,4,2,4,2,2,3,2,1,2
アツコ,アツコ,アツコ,2,2,2,2,3,4,3,3,3,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
期末,きまつ,キマツ,2,3,3,4,3,4,4,3,3,3,3,3,4,3,4,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,2,3,2,2,3,2,2,2,3,1,1,1,1,1,2,1,1,1,2
抜粋,ばっすい,バッスイ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,2,1,1,1,1,2,3,4,2,3,3,2,3,3,3,4,2,2,1,1,1,2,1,2,2,2
気紛れ,きまぐれ,キマグレ,2,2,3,2,3,4,3,3,3,2,3,3,3,2,3,1,1,1,2,1,1,1,1,3,2,3,3,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,3,1,3,1,1,1,1,3,1,1,1
匠,たくみ,タクミ,2,2,2,3,3,4,3,3,3,2,3,3,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,1,2,2,1,3,1,1,2,2,3,3,2,2,3,3,1,1,1,1,1,1,1,1,1,3,2,2,2,1,2,2,2,2,2,2
ヘルス,ヘルス,ヘルス,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,3,1,1,1,2,1,2,2,1,2,2,1,2,2,2,3,1,1,1,1,1,2,1,2,2,2
シンク,シンク,シンク,2,2,2,2,3,4,3,3,3,2,2,2,2,2,2,2,1,1,2,1,2,3,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,3,1,3,3,2,3,3,2,3,3,3,2,1,2,2,1,2,2,2,1,2,3
接合,せつごう,セツゴウ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,2,1,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,3,3,3,2,3,3,2,3,3,3,2,3,2,1,3,1,2,3,2,1,2
被爆,ひばく,ヒバク,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,3,2,3,3,3,2,3,3,3,2,1,1,1,1,1,2,1,2,2,3
配属,はいぞく,ハイゾク,2,2,2,3,3,4,3,3,3,3,3,2,3,2,2,4,3,1,3,3,2,2,1,2,2,2,2,2,2,3,2,2,2,3,2,3,1,2,2,2,1,1,3,2,3,3,3,2,4,3,3,2,1,3,2,4,2,2,2,3,2,2
マスミ,マスミ,マスミ,2,2,2,2,4,4,3,4,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
区切り,くぎり,クギリ,2,2,2,3,4,4,4,3,3,3,2,2,3,3,2,2,1,1,3,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,1,3,4,4,3,5,3,3,4,3,3,3,3,3,1,1,2,2,3,2,2,2
