word,hiragana,katakana,BCCWJ_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,JPDB,KOKUGOJITEN,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
スーツケース,スーツケース,スーツケース,24174,10047,10802,5421,7639,2876,4170,4014,4667,6699,13585,6998,7431,21702,6427,-1,22531,-1,9211,19411,13649,11745,-1,-1,10133,-1,-1,8639,-1,-1,-1,11059,6813,7290,16525,-1,-1,10404,-1,16660,5878,-1,-1,-1,19328,-1,-1,-1,-1,-1,-1,7875,-1,-1,14243,-1,14648,13739,-1,-1,12093,15374
学び,まなび,マナビ,24177,16266,13258,11364,7639,2876,4170,4014,4667,8262,13585,11052,11750,10632,21622,2558,16142,-1,4509,-1,19073,19220,-1,19739,-1,-1,-1,-1,-1,-1,-1,-1,10616,10646,3270,-1,-1,-1,19419,-1,-1,23626,10466,6073,16867,10570,10839,13140,10795,10834,10826,9817,-1,18659,19638,-1,16114,4898,17934,-1,747,2274
妨害する,-,-,24180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
末日,まつじつ,マツジツ,24181,20704,25005,11364,4754,2876,4170,4014,4667,16460,13585,11052,7431,21702,14260,18596,-1,-1,11258,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10817,22388,-1,-1,8957,-1,-1,-1,13489,-1,-1
照会,しょうかい,ショウカイ,24184,20704,25005,7212,7639,2876,4170,4014,4667,16460,13585,11052,7431,14238,21622,24208,21819,20494,9007,17066,20552,17077,-1,17533,20490,-1,-1,15509,-1,-1,-1,-1,9503,9917,12430,-1,-1,23050,-1,-1,22762,-1,16731,9759,19984,16764,16917,18371,16908,16922,16926,8438,-1,-1,21137,-1,-1,19519,-1,-1,-1,23213
おでん,おでん,オデン,24185,6059,4679,11364,7639,2876,4170,4014,4667,6699,5138,2907,11750,14238,4107,-1,7059,-1,13171,8540,14109,11691,-1,11990,18028,5319,4973,12920,5319,4963,4794,13669,18266,23067,14190,-1,-1,24780,14692,12064,4820,-1,17432,-1,12780,17462,17601,18983,17595,17605,17619,8339,21055,17452,14598,-1,22368,9307,11768,20097,19104,8702
サトコ,サトコ,サトコ,24186,20704,17146,11364,7639,2876,4170,4014,4667,16460,13585,6998,11750,21702,14260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24194,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
此の間,このあいだ,コノアイダ,24187,305,298,324,399,548,474,759,382,339,307,244,312,384,259,-1,-1,-1,15286,-1,-1,-1,-1,4726,-1,3719,2256,-1,-1,-1,-1,-1,-1,-1,20917,-1,-1,-1,-1,14185,4724,-1,3233,7501,2144,3553,2347,1388,752,4037,4266,6589,-1,10894,-1,-1,-1,-1,4101,-1,-1,-1
割れ,われ,ワレ,24188,20704,17146,11364,7639,2876,4170,4014,4667,16460,8594,11052,11750,21702,14260,9930,3602,-1,11255,-1,6554,10748,-1,11025,1222,6159,9667,-1,6159,5760,9300,16484,4035,4072,6210,19348,-1,-1,17599,6766,3780,16064,24404,14730,-1,24407,24471,-1,24476,24490,24496,9476,24054,14702,6812,-1,17529,4621,12603,12577,20871,7883
三味,さみ,サミ,24189,11455,9191,11364,7639,2876,1050,4014,4667,16460,13585,11052,11750,14238,8749,10201,-1,13627,-1,11416,-1,-1,-1,17297,-1,-1,6361,8492,-1,-1,12913,-1,-1,-1,-1,-1,-1,-1,-1,14189,14223,-1,4373,23247,2819,4627,5259,9010,5138,5058,467,15684,-1,-1,-1,-1,12656,-1,17179,-1,-1,-1
