word,JPDB_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
てまえ,20912,8967,6515,5325,1237,20515,4974,5483,7744,6459,1330,731,1983,230,886,1394,6320,5910,7273,4072,8121,8209,3415,-1,2097,5327,7466,6439,2111,8071,-1,2275,1286,6686,2026,70475
ふくしゅう,21000,16266,6417,1938,2833,14784,8848,1928,5866,5154,-1,2037,3162,1597,7701,10352,1597,1483,11589,4717,1549,1737,5603,22788,3470,3912,14586,14170,3067,6108,275,3426,4593,4571,4658,186895
びんかん,21003,6059,18280,11963,3027,9003,2471,12503,9127,7787,-1,7979,6059,10657,10191,4489,10657,9997,9807,1693,9184,8511,205,-1,6163,10449,19379,15815,5666,9081,-1,3486,1345,17351,12417,5821
にもつ,21006,1111,5986,2222,1481,4537,1850,1989,1284,22666,-1,1213,1874,2659,1622,1323,2659,2473,1567,1682,1287,1366,2959,-1,1975,1971,2184,1933,1166,1358,421,1679,1119,6563,3067,84027
にっき,21050,3322,3481,5979,2399,4957,2252,5707,4022,3334,-1,3426,3187,2110,3114,3377,2110,1958,3005,4294,4423,4959,3891,10376,3430,9158,1087,645,5763,4180,1654,3754,3334,2118,13352,134519
じたく,21151,2041,2261,2779,3143,3068,917,1725,2508,2260,-1,2328,2583,10056,4403,1968,10056,9429,4246,4686,2402,2487,4099,-1,2720,6583,10964,7112,3983,2634,-1,2205,3392,3150,1614,47357
かんし,21174,6059,2958,2326,3567,4987,3161,2569,12172,14000,-1,1226,2667,2326,4009,1626,2326,2158,3867,3514,544,622,6979,14697,3256,2931,5637,8263,1854,12601,4325,2427,2432,3547,3918,58507
びょう,21193,2199,1004,11724,4555,3757,1700,1883,10281,13645,4627,14005,1730,1162,1919,9879,1162,1078,1855,1546,825,880,210,7370,2544,1867,603,2630,1234,10685,545,1475,1313,20251,869,40040
へんしん,21302,11455,4344,912,13408,12010,6820,8204,23355,19330,-1,2442,7554,1693,3228,5488,1693,1570,3115,6113,3403,3048,3979,9312,7710,4181,24837,21787,3411,23972,-1,5705,5636,2590,4411,90082
おとこのこ,21324,1135,14620,1852,-1,3582,3705,1764,1779,2400,-1,2473,2113,3781,1029,1567,3781,3529,991,1601,1821,1939,214,14695,2181,2171,9846,10433,2873,1875,5815,2104,1172,9123,2401,3586
たいじ,21329,13446,8795,18529,10056,23828,12951,7935,18032,16120,-1,15725,9842,7059,18200,7507,7059,6610,16965,4218,13426,14568,14341,-1,10052,24608,7836,13316,3122,18587,5240,5706,3774,9117,6912,14482
けしき,21353,2688,15198,3871,1222,6605,2407,3737,4039,3531,-1,3626,3874,5138,1902,2548,5138,4792,1838,2807,6556,6725,3583,-1,3810,2989,10685,7379,2354,4193,3898,2626,2163,16678,2769,95867
