word,ANIME_JDRAMA_rank,CEJC_rank,ADNO,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
安土,21923,-1,8178,-1,-1,-1,18031,-1,-1,-1,-1,12434,-1,-1,21815,-1,-1,-1,-1,-1,-1,-1,-1,13742,-1,-1,14326,19804,-1,-1,-1,12085,-1,9059,20882,33839
宛,21924,-1,10504,1776,-1,11501,23992,19839,17154,-1,-1,7829,-1,-1,5409,11904,24459,11190,8348,7747,7925,10155,-1,8294,10464,2604,13177,5968,-1,18860,2734,9793,-1,12150,12163,15608
宰相,21925,-1,7998,9519,-1,-1,-1,19590,16627,-1,17066,11032,-1,-1,10507,-1,-1,-1,19460,10139,-1,-1,16697,11331,23611,-1,5489,5511,2134,20146,-1,6487,-1,9368,-1,48148
専門店,21926,-1,-1,-1,-1,3449,21674,18788,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19779,-1,-1,7965,-1,-1,-1,-1,-1,-1,-1,19348,-1,-1,-1,-1,8204,9542
工程,21927,7460,5945,-1,10151,4164,16224,14225,11345,-1,11641,-1,12632,19435,19764,12632,11846,18677,17879,21467,21878,11642,-1,-1,17803,-1,7660,7902,7239,12432,3846,18079,14391,7705,8170,5310
市街地,21928,-1,-1,24867,12968,7231,-1,22682,-1,-1,-1,19897,-1,-1,-1,-1,-1,-1,17377,-1,-1,-1,-1,21186,17412,-1,11389,7413,-1,23301,-1,-1,-1,2210,12703,15212
平本,21929,-1,-1,-1,-1,-1,18354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111180
強運,21930,-1,-1,-1,-1,-1,-1,22919,18781,-1,19285,-1,13124,-1,-1,13124,12299,-1,-1,-1,-1,-1,-1,-1,23942,-1,-1,-1,23353,23541,-1,-1,21360,-1,-1,27531
後味,21931,8120,-1,15487,-1,17397,-1,21870,18099,-1,18586,22939,13407,20050,15994,13407,12568,19273,17639,22001,-1,9971,-1,24690,19676,-1,-1,-1,11861,22539,-1,22906,11701,-1,22953,15049
御蔵,21932,-1,-1,-1,-1,-1,15437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12501,23393,-1,-1,-1,-1,-1,-1,-1,56260
手法,21933,8967,1916,5769,5745,2257,15873,10232,8752,-1,8977,13153,22068,-1,9543,22068,20689,-1,16093,9196,9798,13458,13415,13176,-1,-1,3637,2081,7590,10218,-1,7734,12267,2866,3261,2498
打ち解ける,21934,16266,-1,-1,-1,14727,21332,15917,13511,3455,13860,24457,16439,8245,12055,16439,15400,7932,9214,-1,-1,15167,-1,-1,15973,19436,16133,22565,9261,16518,-1,15377,6204,24456,-1,37528
揚羽,21935,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,184551
揺るぎない,21936,-1,-1,-1,-1,20385,-1,-1,22842,5734,23453,-1,22888,16558,19294,22888,21454,15905,15407,-1,-1,-1,-1,-1,20713,13507,-1,-1,13888,-1,-1,22442,10959,-1,-1,29856
曲がり,21937,20704,24686,-1,-1,-1,-1,21401,-1,-1,-1,-1,-1,-1,13960,-1,-1,-1,13521,-1,-1,-1,-1,-1,-1,-1,17597,15192,11773,22043,-1,-1,10211,-1,18388,22170
木戸川,21938,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83497
極寒,21939,16266,-1,-1,-1,24563,-1,21804,18058,-1,18543,-1,15619,-1,-1,15619,14640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13065,22405,-1,-1,21855,-1,-1,26011
極度,21940,20704,13860,2484,20048,12070,21283,19786,16554,-1,16992,8100,21246,17371,6020,21246,19911,16691,15705,14637,15728,12949,-1,8120,18608,-1,15521,13253,11642,19700,-1,10924,12070,11830,15606,21232
武道館,21941,-1,-1,-1,-1,11003,16177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14429,-1,5707
比奈子,21942,-1,-1,-1,-1,-1,14112,-1,-1,-1,-1,11439,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12147,-1,-1,-1,-1,-1,-1,-1,19456,-1,-1,-1,186307
氏家,21943,-1,-1,-1,-1,-1,18064,19788,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20348,-1,-1,-1,24541,-1,52605
江戸っ子,21944,-1,-1,-1,-1,-1,20973,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18713,-1,-1,19973,17486,-1,-1,-1,-1,-1,-1,-1,39874
洋平,21945,-1,-1,-1,-1,-1,13661,17892,-1,-1,-1,15834,-1,-1,-1,17076,16003,13930,-1,-1,-1,-1,-1,17065,-1,-1,-1,-1,-1,18438,-1,16122,-1,13563,-1,31271
渡り歩く,21946,11455,-1,-1,-1,23160,24173,24134,20011,5340,20551,-1,22808,-1,17484,22808,21380,-1,-1,-1,-1,23995,-1,-1,20739,-1,-1,-1,14378,24783,9686,-1,16252,21200,-1,32075
準備室,21947,-1,-1,-1,-1,-1,20686,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16746,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21345,-1
物知り,21948,16266,-1,-1,-1,-1,-1,19489,15822,-1,16235,-1,20772,13098,18197,20772,19471,12594,16406,19022,21138,10594,-1,-1,14328,-1,-1,-1,15490,20045,5659,-1,10750,-1,13386,33498
狂言,21949,16266,15717,4532,21237,21433,18920,-1,-1,-1,-1,12845,-1,-1,9021,-1,-1,-1,24908,17775,21677,-1,24569,16153,-1,-1,489,760,-1,-1,-1,13405,17285,15769,-1,17829
